Event Label,IP Address,Total Events,Unique Events,Event Value,Avg. Value
reproductive-years-result,99.93.208.84,1,1,0,0
reproductive-years-result,99.82.254.180,1,1,0,0
late-menopause-transition-result,99.8.85.105,1,1,0,0
uncertain-stage-result,99.32.58.89,1,1,0,0
uncertain-stage-result,99.182.122.131,1,1,0,0
pre-menopausal-result,99.160.137.175,1,1,0,0
late-menopause-transition-result,98.27.129.144,1,1,0,0
post-menopausal-result,98.207.138.26,1,1,0,0
uncertain-stage-result,98.200.163.202,2,1,0,0
early-menopause-transition-result,98.174.82.34,2,1,0,0
late-menopause-transition-result,98.152.32.83,4,1,0,0
uncertain-stage-result,98.148.192.63,1,1,0,0
late-menopause-transition-result,98.127.80.222,1,1,0,0
late-menopause-transition-result,98.10.243.160,1,1,0,0
uncertain-stage-result,97.86.226.143,1,1,0,0
uncertain-stage-result,97.118.138.172,1,1,0,0
uncertain-stage-result,97.115.93.206,1,1,0,0
early-menopause-transition-result,96.41.202.198,1,1,0,0
reproductive-years-result,96.41.202.198,1,1,0,0
reproductive-years-result,96.252.109.126,1,1,0,0
uncertain-stage-result,8.29.210.69,1,1,0,0
uncertain-stage-result,76.9.91.238,1,1,0,0
reproductive-years-result,76.26.54.57,1,1,0,0
reproductive-years-result,76.25.77.216,1,1,0,0
early-menopause-transition-result,76.234.140.218,2,1,0,0
reproductive-years-result,76.191.19.153,1,1,0,0
reproductive-years-result,76.108.73.56,1,1,0,0
late-menopause-transition-result,75.21.235.253,2,1,0,0
early-menopause-transition-result,75.187.42.179,1,1,0,0
late-menopause-transition-result,75.187.42.179,1,1,0,0
post-menopausal-result,75.172.55.60,1,1,0,0
reproductive-years-result,74.199.76.172,1,1,0,0
reproductive-years-result,74.138.83.223,3,1,0,0
late-menopause-transition-result,73.70.203.170,1,1,0,0
uncertain-stage-result,73.70.203.170,1,1,0,0
late-menopause-transition-result,73.50.147.172,1,1,0,0
reproductive-years-result,73.37.13.59,1,1,0,0
uncertain-stage-result,73.236.244.138,1,1,0,0
uncertain-stage-result,73.175.215.190,1,1,0,0
late-menopause-transition-result,73.16.205.220,1,1,0,0
early-menopause-transition-result,73.15.115.187,1,1,0,0
reproductive-years-result,73.15.115.187,1,1,0,0
reproductive-years-result,73.147.52.48,5,1,0,0
post-menopausal-result,73.135.130.127,2,1,0,0
late-menopause-transition-result,73.11.8.10,1,1,0,0
surgical-menopause-result,73.108.31.82,2,1,0,0
early-menopause-transition-result,72.224.13.18,1,1,0,0
uncertain-stage-result,72.224.13.18,2,1,0,0
reproductive-years-result,72.220.69.176,1,1,0,0
late-menopause-transition-result,72.188.247.175,2,1,0,0
uncertain-stage-result,71.81.210.174,1,1,0,0
uncertain-stage-result,71.67.244.85,1,1,0,0
reproductive-years-result,71.45.41.119,1,1,0,0
reproductive-years-result,71.255.32.18,1,1,0,0
reproductive-years-result,71.238.34.51,1,1,0,0
reproductive-years-result,71.213.45.87,1,1,0,0
late-menopause-transition-result,71.129.32.129,1,1,0,0
reproductive-years-result,70.94.78.192,2,1,0,0
uncertain-stage-result,70.18.238.174,1,1,0,0
post-menopausal-result,70.162.20.98,1,1,0,0
late-menopause-transition-result,70.162.176.142,1,1,0,0
reproductive-years-result,69.88.40.153,1,1,0,0
uncertain-stage-result,69.255.155.56,1,1,0,0
reproductive-years-result,69.140.84.145,1,1,0,0
late-menopause-transition-result,69.140.116.95,1,1,0,0
reproductive-years-result,69.140.116.95,4,1,0,0
uncertain-stage-result,68.82.200.161,2,1,0,0
uncertain-stage-result,68.52.241.50,1,1,0,0
early-menopause-transition-result,68.47.20.170,1,1,0,0
reproductive-years-result,68.47.20.170,1,1,0,0
uncertain-stage-result,68.47.20.170,1,1,0,0
reproductive-years-result,68.202.78.144,1,1,0,0
uncertain-stage-result,68.162.66.44,1,1,0,0
late-menopause-transition-result,68.14.118.41,1,1,0,0
reproductive-years-result,68.10.108.230,3,1,0,0
reproductive-years-result,67.82.145.227,1,1,0,0
reproductive-years-result,67.186.32.145,1,1,0,0
late-menopause-transition-result,67.184.189.126,1,1,0,0
late-menopause-transition-result,66.55.195.192,1,1,0,0
uncertain-stage-result,66.38.61.218,1,1,0,0
post-menopausal-result,66.220.238.147,1,1,0,0
surgical-menopause-result,64.127.165.14,4,1,0,0
post-menopausal-result,50.25.0.72,2,1,0,0
uncertain-stage-result,50.25.0.72,1,1,0,0
reproductive-years-result,50.122.27.199,1,1,0,0
uncertain-stage-result,50.122.27.199,1,1,0,0
uncertain-stage-result,47.37.130.240,1,1,0,0
uncertain-stage-result,47.32.4.202,1,1,0,0
uncertain-stage-result,47.26.135.230,3,1,0,0
uncertain-stage-result,47.185.27.2,1,1,0,0
uncertain-stage-result,47.152.247.62,1,1,0,0
reproductive-years-result,47.150.19.239,1,1,0,0
pre-menopausal-result,47.149.253.50,4,1,0,0
late-menopause-transition-result,31.48.115.8,1,1,0,0
uncertain-stage-result,24.8.149.174,1,1,0,0
post-menopausal-result,24.63.96.210,1,1,0,0
late-menopause-transition-result,24.59.245.51,1,1,0,0
reproductive-years-result,24.5.177.117,1,1,0,0
surgical-menopause-result,24.240.58.192,1,1,0,0
uncertain-stage-result,24.237.17.179,1,1,0,0
post-menopausal-result,24.194.226.86,3,1,0,0
post-menopausal-result,24.186.210.13,1,1,0,0
uncertain-stage-result,24.169.2.9,1,1,0,0
late-menopause-transition-result,24.154.107.20,1,1,0,0
late-menopause-transition-result,24.118.105.76,1,1,0,0
late-menopause-transition-result,24.0.99.105,1,1,0,0
uncertain-stage-result,24.0.112.76,2,1,0,0
uncertain-stage-result,23.242.78.23,1,1,0,0
reproductive-years-result,23.117.99.64,1,1,0,0
uncertain-stage-result,216.93.226.235,1,1,0,0
uncertain-stage-result,216.116.227.255,4,1,0,0
late-menopause-transition-result,209.107.179.56,1,1,0,0
pre-menopausal-result,208.38.254.86,3,1,0,0
late-menopause-transition-result,192.190.159.60,1,1,0,0
reproductive-years-result,184.97.48.228,1,1,0,0
reproductive-years-result,174.96.48.51,2,1,0,0
post-menopausal-result,174.86.0.207,1,1,0,0
uncertain-stage-result,174.80.241.119,2,1,0,0
reproductive-years-result,174.71.25.80,1,1,0,0
reproductive-years-result,174.252.202.5,1,1,0,0
late-menopause-transition-result,174.250.36.12,1,1,0,0
reproductive-years-result,174.250.36.12,1,1,0,0
post-menopausal-result,174.249.47.115,1,1,0,0
uncertain-stage-result,174.248.57.86,1,1,0,0
post-menopausal-result,174.247.240.255,1,1,0,0
pre-menopausal-result,174.247.14.59,3,1,0,0
post-menopausal-result,174.246.134.42,1,1,0,0
early-menopause-transition-result,174.211.129.240,1,1,0,0
late-menopause-transition-result,174.210.235.168,1,1,0,0
post-menopausal-result,174.199.238.114,1,1,0,0
reproductive-years-result,174.198.65.5,3,1,0,0
post-menopausal-result,174.126.154.195,1,1,0,0
late-menopause-transition-result,173.29.245.134,1,1,0,0
uncertain-stage-result,173.233.162.66,2,1,0,0
surgical-menopause-result,172.58.70.156,2,1,0,0
reproductive-years-result,172.58.44.251,1,1,0,0
early-menopause-transition-result,172.58.36.197,1,1,0,0
reproductive-years-result,172.58.31.102,1,1,0,0
post-menopausal-result,172.58.223.141,4,1,0,0
post-menopausal-result,172.58.207.135,1,1,0,0
reproductive-years-result,172.58.187.101,1,1,0,0
reproductive-years-result,172.58.184.103,1,1,0,0
uncertain-stage-result,172.58.184.103,1,1,0,0
late-menopause-transition-result,172.58.137.217,1,1,0,0
surgical-menopause-result,172.58.111.155,3,1,0,0
