Event Label,IP Address,Total Events,Unique Events,Event Value,Avg. Value
mind-body,100.1.116.150,1,1,0,0
only-treatments-known-to-work,100.1.116.150,1,1,0,0
try-on-your-own,100.1.116.150,1,1,0,0
mind-body,100.1.210.47,2,1,0,0
try-on-your-own,100.1.210.47,3,1,0,0
mind-body,100.35.149.7,1,1,0,0
ok-for-breast-cancer,100.35.149.7,1,1,0,0
only-treatments-known-to-work,100.35.149.7,1,1,0,0
professional-help,100.35.149.7,1,1,0,0
try-on-your-own,100.35.149.7,1,1,0,0
try-on-your-own,104.4.139.57,1,1,0,0
try-on-your-own,104.7.29.81,1,1,0,0
only-treatments-known-to-work,104.8.80.79,1,1,0,0
try-on-your-own,104.8.80.79,1,1,0,0
mind-body,107.12.183.250,1,1,0,0
professional-help,107.12.183.250,1,1,0,0
try-on-your-own,107.12.183.250,1,1,0,0
mind-body,107.204.168.21,2,1,0,0
only-treatments-known-to-work,107.204.168.21,2,1,0,0
try-on-your-own,107.204.168.21,2,1,0,0
try-on-your-own,107.242.113.5,1,1,0,0
mind-body,107.242.113.64,1,1,0,0
only-treatments-known-to-work,107.242.113.64,1,1,0,0
try-on-your-own,107.242.113.64,1,1,0,0
try-on-your-own,107.77.169.36,1,1,0,0
mind-body,107.77.208.231,1,1,0,0
only-treatments-known-to-work,107.77.208.231,1,1,0,0
try-on-your-own,107.77.208.231,1,1,0,0
mind-body,108.202.117.72,1,1,0,0
try-on-your-own,108.202.117.72,1,1,0,0
mind-body,108.213.221.15,2,1,0,0
try-on-your-own,108.213.221.15,1,1,0,0
mind-body,108.234.124.199,1,1,0,0
only-treatments-known-to-work,108.234.124.199,1,1,0,0
professional-help,108.234.124.199,4,1,0,0
try-on-your-own,108.234.124.199,4,1,0,0
mind-body,108.238.90.79,2,1,0,0
try-on-your-own,108.238.90.79,2,1,0,0
mind-body,108.52.130.168,1,1,0,0
only-treatments-known-to-work,108.52.130.168,1,1,0,0
try-on-your-own,108.52.130.168,1,1,0,0
only-treatments-known-to-work,151.197.230.4,1,1,0,0
try-on-your-own,151.197.230.4,1,1,0,0
mind-body,162.218.220.231,2,1,0,0
only-treatments-known-to-work,162.218.220.231,2,1,0,0
try-on-your-own,162.218.220.231,2,1,0,0
mind-body,162.222.31.52,1,1,0,0
only-treatments-known-to-work,162.222.31.52,1,1,0,0
professional-help,162.222.31.52,1,1,0,0
try-on-your-own,162.222.31.52,1,1,0,0
mind-body,172.14.95.125,1,1,0,0
try-on-your-own,172.14.95.125,1,1,0,0
mind-body,172.221.114.222,1,1,0,0
try-on-your-own,172.221.114.222,1,1,0,0
only-treatments-known-to-work,172.5.237.199,1,1,0,0
try-on-your-own,172.5.237.199,1,1,0,0
mind-body,172.56.42.201,1,1,0,0
try-on-your-own,172.56.42.201,1,1,0,0
mind-body,172.56.42.95,1,1,0,0
only-treatments-known-to-work,172.56.42.95,1,1,0,0
professional-help,172.56.42.95,1,1,0,0
try-on-your-own,172.56.42.95,1,1,0,0
only-treatments-known-to-work,172.58.137.217,1,1,0,0
mind-body,172.58.139.36,2,1,0,0
only-treatments-known-to-work,172.58.139.36,1,1,0,0
professional-help,172.58.139.36,2,1,0,0
try-on-your-own,172.58.139.36,2,1,0,0
only-treatments-known-to-work,172.58.157.238,1,1,0,0
try-on-your-own,172.58.157.238,1,1,0,0
mind-body,172.58.19.143,1,1,0,0
only-treatments-known-to-work,172.58.19.143,1,1,0,0
only-treatments-known-to-work,172.58.223.141,1,1,0,0
professional-help,172.58.223.141,1,1,0,0
only-treatments-known-to-work,172.58.23.222,1,1,0,0
only-treatments-known-to-work,172.58.31.102,1,1,0,0
professional-help,172.58.31.102,3,1,0,0
try-on-your-own,172.58.31.102,1,1,0,0
try-on-your-own,172.58.44.170,2,1,0,0
only-treatments-known-to-work,172.58.44.251,1,1,0,0
try-on-your-own,172.58.44.251,1,1,0,0
mind-body,172.58.59.211,1,1,0,0
only-treatments-known-to-work,172.58.59.211,1,1,0,0
try-on-your-own,172.58.59.211,1,1,0,0
mind-body,172.58.70.156,1,1,0,0
only-treatments-known-to-work,172.58.70.156,1,1,0,0
try-on-your-own,172.58.70.156,1,1,0,0
mind-body,172.79.21.112,1,1,0,0
only-treatments-known-to-work,172.79.21.112,1,1,0,0
try-on-your-own,172.79.21.112,2,1,0,0
only-treatments-known-to-work,172.91.219.96,1,1,0,0
only-treatments-known-to-work,173.29.245.134,2,1,0,0
try-on-your-own,173.29.245.134,1,1,0,0
only-treatments-known-to-work,173.29.26.241,1,1,0,0
professional-help,173.29.26.241,2,1,0,0
try-on-your-own,173.29.26.241,2,1,0,0
mind-body,173.69.134.2,1,1,0,0
only-treatments-known-to-work,173.69.134.2,2,1,0,0
professional-help,173.69.134.2,1,1,0,0
try-on-your-own,173.69.134.2,1,1,0,0
try-on-your-own,173.81.164.231,1,1,0,0
ok-for-breast-cancer,174.126.154.195,1,1,0,0
only-treatments-known-to-work,174.126.154.195,1,1,0,0
try-on-your-own,174.126.154.195,2,1,0,0
only-treatments-known-to-work,174.20.67.229,1,1,0,0
try-on-your-own,174.20.67.229,1,1,0,0
ok-for-breast-cancer,174.202.69.23,1,1,0,0
mind-body,174.207.0.28,1,1,0,0
only-treatments-known-to-work,174.207.0.28,1,1,0,0
professional-help,174.207.0.28,1,1,0,0
try-on-your-own,174.207.0.28,1,1,0,0
ok-for-breast-cancer,174.208.34.69,1,1,0,0
mind-body,174.210.235.168,1,1,0,0
only-treatments-known-to-work,174.210.235.168,1,1,0,0
professional-help,174.210.235.168,1,1,0,0
try-on-your-own,174.210.235.168,1,1,0,0
mind-body,174.211.129.240,1,1,0,0
only-treatments-known-to-work,174.211.129.240,1,1,0,0
try-on-your-own,174.211.129.240,1,1,0,0
try-on-your-own,174.216.11.136,1,1,0,0
only-treatments-known-to-work,174.242.81.27,1,1,0,0
try-on-your-own,174.242.81.27,2,1,0,0
only-treatments-known-to-work,174.247.240.255,1,1,0,0
try-on-your-own,174.247.240.255,1,1,0,0
mind-body,174.250.36.12,1,1,0,0
only-treatments-known-to-work,174.250.36.12,2,1,0,0
professional-help,174.250.36.12,2,1,0,0
try-on-your-own,174.250.36.12,1,1,0,0
mind-body,174.86.0.207,1,1,0,0
only-treatments-known-to-work,174.86.0.207,1,1,0,0
try-on-your-own,174.86.0.207,1,1,0,0
mind-body,184.62.130.147,1,1,0,0
professional-help,184.62.130.147,1,1,0,0
only-treatments-known-to-work,192.190.159.60,1,1,0,0
try-on-your-own,192.190.159.60,1,1,0,0
mind-body,207.225.154.127,1,1,0,0
ok-for-breast-cancer,207.225.154.127,2,1,0,0
only-treatments-known-to-work,207.225.154.127,1,1,0,0
professional-help,207.225.154.127,1,1,0,0
try-on-your-own,207.225.154.127,1,1,0,0
only-treatments-known-to-work,209.107.179.56,1,1,0,0
try-on-your-own,209.107.179.56,1,1,0,0
only-treatments-known-to-work,209.107.180.22,1,1,0,0
only-treatments-known-to-work,216.93.226.235,4,1,0,0
mind-body,23.123.210.55,1,1,0,0
try-on-your-own,23.123.210.55,1,1,0,0
mind-body,23.84.10.87,1,1,0,0
try-on-your-own,23.84.10.87,1,1,0,0
mind-body,23.84.72.234,1,1,0,0
professional-help,23.84.72.234,1,1,0,0
try-on-your-own,23.84.72.234,1,1,0,0
mind-body,24.0.99.105,1,1,0,0
try-on-your-own,24.0.99.105,1,1,0,0
only-treatments-known-to-work,24.118.105.76,1,1,0,0
try-on-your-own,24.118.105.76,1,1,0,0
mind-body,24.143.241.24,1,1,0,0
only-treatments-known-to-work,24.143.241.24,1,1,0,0
