IP Address,Hour of Day,Event Label,Total Events,Pageviews,Sessions,Session Duration
99.93.208.84,2021100110,common-insomnia.png,1,4,1,0:02:35
99.93.208.84,2021100110,other-weight-gain.png,1,4,1,0:02:35
99.93.208.84,2021100110,reproductive-years-result,1,4,1,0:02:35
99.93.208.84,2021100110,sex-libido.png,1,4,1,0:02:35
99.93.208.84,2021100110,sex-period.png,1,4,1,0:02:35
99.93.208.84,2021100110,treatmentsButton,1,4,1,0:02:35
99.93.208.84,2021100110,try-on-your-own,1,4,1,0:02:35
99.92.172.96,2021092613,common-depression.png,1,7,1,0:02:13
99.92.172.96,2021092613,common-hot-flashes.png,1,7,1,0:02:13
99.92.172.96,2021092613,other-weight-gain.png,1,7,1,0:02:13
99.89.44.176,2021092615,other-weight-gain.png,1,4,1,0:03:05
99.82.254.180,2021092718,common-hot-flashes.png,1,6,1,0:04:12
99.82.254.180,2021092718,mind-body,1,6,1,0:04:12
99.82.254.180,2021092718,other-bladder.png,1,6,1,0:04:12
99.82.254.180,2021092718,other-weight-gain.png,2,6,1,0:04:12
99.82.254.180,2021092718,reproductive-years-result,1,6,1,0:04:12
99.82.254.180,2021092718,supplement,1,6,1,0:04:12
99.82.254.180,2021092718,treatmentsButton,1,6,1,0:04:12
99.82.254.180,2021092718,try-on-your-own,1,6,1,0:04:12
99.8.85.105,2021092610,common-depression.png,1,8,1,0:07:29
99.8.85.105,2021092610,dry-eyes2.png,1,8,1,0:07:29
99.8.85.105,2021092610,late-menopause-transition-result,1,8,1,0:07:29
99.8.85.105,2021092610,only-treatments-known-to-work,1,8,1,0:07:29
99.8.85.105,2021092610,other-aches-pains.png,1,8,1,0:07:29
99.8.85.105,2021092610,other-bladder.png,1,8,1,0:07:29
99.8.85.105,2021092610,other-brain-fog.png,1,8,1,0:07:29
99.8.85.105,2021092610,other-dryness.png,1,8,1,0:07:29
99.8.85.105,2021092610,other-weight-gain.png,1,8,1,0:07:29
99.8.85.105,2021092610,prescription-medicine,1,8,1,0:07:29
99.8.85.105,2021092610,supplement,1,8,1,0:07:29
99.8.85.105,2021092610,treatmentsButton,2,8,1,0:07:29
99.8.85.105,2021092610,try-on-your-own,1,8,1,0:07:29
99.7.30.41,2021093016,common-depression.png,1,4,1,0:03:28
99.7.30.41,2021093016,common-hot-flashes.png,2,4,1,0:03:28
99.7.30.41,2021093016,common-insomnia.png,1,4,1,0:03:28
99.7.30.41,2021093016,other-brain-fog.png,1,4,1,0:03:28
99.7.30.41,2021093016,other-weight-gain.png,1,4,1,0:03:28
99.7.30.41,2021093016,sex-period.png,1,4,1,0:03:28
99.7.30.41,2021093016,supplement,1,4,1,0:03:28
99.7.30.41,2021093016,treatmentsButton,2,4,1,0:03:28
99.7.30.41,2021093016,try-on-your-own,1,4,1,0:03:28
99.54.138.36,2021100718,common-hot-flashes.png,1,2,1,0:02:39
99.54.138.36,2021100718,common-insomnia.png,1,2,1,0:02:39
99.54.138.36,2021100718,mind-body,1,2,1,0:02:39
99.54.138.36,2021100718,other-aches-pains.png,1,2,1,0:02:39
99.54.138.36,2021100718,other-bladder.png,1,2,1,0:02:39
99.54.138.36,2021100718,prescription-medicine,1,2,1,0:02:39
99.54.138.36,2021100718,professional-help,1,2,1,0:02:39
99.54.138.36,2021100718,sex-pain-vagina.png,2,2,1,0:02:39
99.54.138.36,2021100718,treatmentsButton,2,2,1,0:02:39
99.54.138.36,2021100718,try-on-your-own,1,2,1,0:02:39
99.44.25.230,2021092717,common-hot-flashes.png,1,13,1,0:15:39
99.44.25.230,2021092718,common-hot-flashes.png,2,13,1,0:15:39
99.44.25.230,2021092718,common-insomnia.png,2,13,1,0:15:39
99.44.25.230,2021092718,dry-eyes2.png,2,13,1,0:15:39
99.44.25.230,2021092718,mind-body,2,13,1,0:15:39
99.44.25.230,2021092718,other-weight-gain.png,2,13,1,0:15:39
99.44.25.230,2021092718,prescription-medicine,1,13,1,0:15:39
99.44.25.230,2021092718,sex-period.png,2,13,1,0:15:39
99.44.25.230,2021092718,supplement,2,13,1,0:15:39
99.44.25.230,2021092718,treatmentsButton,5,13,1,0:15:39
99.44.25.230,2021092718,try-on-your-own,2,13,1,0:15:39
99.32.58.89,2021092606,common-depression.png,1,6,1,0:07:14
99.32.58.89,2021092606,common-hot-flashes.png,1,6,1,0:07:14
99.32.58.89,2021092606,other-bladder.png,1,6,1,0:07:14
99.32.58.89,2021092606,other-dryness.png,1,6,1,0:07:14
99.32.58.89,2021092606,prescription-medicine,1,6,1,0:07:14
99.32.58.89,2021092606,supplement,1,6,1,0:07:14
99.32.58.89,2021092606,treatmentsButton,1,6,1,0:07:14
99.32.58.89,2021092606,try-on-your-own,1,6,1,0:07:14
99.32.58.89,2021092606,uncertain-stage-result,1,6,1,0:07:14
99.196.242.50,2021092615,common-depression.png,2,12,1,0:11:52
99.196.242.50,2021092615,common-hot-flashes.png,2,12,1,0:11:52
99.196.242.50,2021092615,other-aches-pains.png,2,12,1,0:11:52
99.196.242.50,2021092615,other-brain-fog.png,1,12,1,0:11:52
99.196.242.50,2021092615,sex-period.png,2,12,1,0:11:52
99.196.242.50,2021092615,treatmentsButton,1,12,1,0:11:52
99.185.57.102,2021093020,only-treatments-known-to-work,1,16,1,0:19:12
99.185.57.102,2021093020,other-bladder.png,1,16,1,0:19:12
99.185.57.102,2021093020,other-dryness.png,1,16,1,0:19:12
99.185.57.102,2021093020,other-weight-gain.png,1,16,1,0:19:12
99.185.57.102,2021093020,sex-pain-vagina.png,1,16,1,0:19:12
99.185.57.102,2021093020,treatmentsButton,1,16,1,0:19:12
99.182.122.131,2021092922,common-insomnia.png,1,4,1,0:02:02
99.182.122.131,2021092922,uncertain-stage-result,1,4,1,0:02:02
99.160.137.175,2021100107,pre-menopausal-result,1,7,1,0:08:18
99.160.137.175,2021100107,sex-libido.png,1,7,1,0:08:18
99.122.83.146,2021092716,common-hot-flashes.png,1,3,1,0:00:29
99.122.61.62,2021102205,common-depression.png,1,4,1,0:02:05
99.122.61.62,2021102205,other-bladder.png,1,4,1,0:02:05
99.122.61.62,2021102205,other-weight-gain.png,1,4,1,0:02:05
99.122.61.62,2021102205,sex-libido.png,2,4,1,0:02:05
99.122.61.62,2021102205,treatmentsButton,1,4,1,0:02:05
99.122.61.62,2021102205,try-on-your-own,1,4,1,0:02:05
99.113.109.28,2021101621,common-depression.png,1,2,1,0:03:43
99.113.109.28,2021101621,common-hot-flashes.png,1,2,1,0:03:43
99.113.109.28,2021101621,dry-eyes2.png,1,2,1,0:03:43
99.113.109.28,2021101621,other-bladder.png,1,2,1,0:03:43
99.113.109.28,2021101621,other-weight-gain.png,1,2,1,0:03:43
99.113.109.28,2021101621,prescription-medicine,1,2,1,0:03:43
99.113.109.28,2021101621,sex-pain-vagina.png,1,2,1,0:03:43
99.113.109.28,2021101621,supplement,1,2,1,0:03:43
99.113.109.28,2021101621,treatmentsButton,1,2,1,0:03:43
99.113.109.28,2021101621,try-on-your-own,1,2,1,0:03:43
99.108.235.167,2021092810,common-hot-flashes.png,1,17,1,0:19:53
99.108.235.167,2021092810,other-weight-gain.png,1,17,1,0:19:53
99.108.235.167,2021092810,sex-libido.png,1,17,1,0:19:53
99.108.235.167,2021092811,common-depression.png,1,17,1,0:19:53
99.108.235.167,2021092811,common-hot-flashes.png,1,17,1,0:19:53
99.108.235.167,2021092811,common-insomnia.png,1,17,1,0:19:53
99.108.235.167,2021092811,mind-body,1,17,1,0:19:53
99.108.235.167,2021092811,other-brain-fog.png,1,17,1,0:19:53
99.108.235.167,2021092811,other-weight-gain.png,3,17,1,0:19:53
99.108.235.167,2021092811,sex-libido.png,1,17,1,0:19:53
99.108.235.167,2021092811,supplement,1,17,1,0:19:53
99.108.235.167,2021092811,treatmentsButton,2,17,1,0:19:53
99.108.235.167,2021092811,try-on-your-own,1,17,1,0:19:53
99.102.165.93,2021100208,common-depression.png,2,4,1,0:05:52
99.102.165.93,2021100208,common-hot-flashes.png,3,4,1,0:05:52
99.102.165.93,2021100208,dry-eyes2.png,1,4,1,0:05:52
99.102.165.93,2021100208,other-aches-pains.png,1,4,1,0:05:52
99.102.165.93,2021100208,other-dryness.png,1,4,1,0:05:52
99.102.165.93,2021100208,other-weight-gain.png,2,4,1,0:05:52
99.102.165.93,2021100208,professional-help,1,4,1,0:05:52
99.102.165.93,2021100208,sex-libido.png,1,4,1,0:05:52
99.102.165.93,2021100208,sex-pain-sex.png,1,4,1,0:05:52
99.102.165.93,2021100208,supplement,1,4,1,0:05:52
99.102.165.93,2021100208,treatmentsButton,1,4,1,0:05:52
99.102.165.93,2021100208,try-on-your-own,1,4,1,0:05:52
98.40.10.88,2021093019,common-depression.png,1,5,1,0:09:01
98.40.10.88,2021093019,common-insomnia.png,1,5,1,0:09:01
98.40.10.88,2021093019,only-treatments-known-to-work,1,5,1,0:09:01
98.40.10.88,2021093019,other-brain-fog.png,1,5,1,0:09:01
98.40.10.88,2021093019,other-weight-gain.png,1,5,1,0:09:01
98.40.10.88,2021093019,treatmentsButton,2,5,1,0:09:01
98.4.93.222,2021100818,common-depression.png,1,6,1,0:06:57
98.4.93.222,2021100818,common-insomnia.png,1,6,1,0:06:57
98.4.93.222,2021100818,mind-body,1,6,1,0:06:57
98.4.93.222,2021100818,sex-libido.png,1,6,1,0:06:57
98.4.93.222,2021100818,supplement,1,6,1,0:06:57
98.4.93.222,2021100818,treatmentsButton,1,6,1,0:06:57
98.4.93.222,2021100818,try-on-your-own,1,6,1,0:06:57
98.4.195.49,2021102119,sex-libido.png,1,6,1,0:01:06
98.4.195.49,2021102119,sex-period.png,1,6,1,0:01:06
98.27.129.144,2021093018,late-menopause-transition-result,1,5,1,0:12:09
98.235.28.50,2021092814,common-hot-flashes.png,1,2,1,0:00:49
98.235.28.50,2021092814,common-insomnia.png,1,2,1,0:00:49
98.235.28.50,2021092814,other-dryness.png,1,2,1,0:00:49
98.235.28.50,2021092814,sex-libido.png,1,2,1,0:00:49
98.23.209.26,2021092613,common-hot-flashes.png,1,7,1,0:07:45
98.23.209.26,2021092613,only-treatments-known-to-work,1,7,1,0:07:45
98.23.209.26,2021092613,other-brain-fog.png,1,7,1,0:07:45
98.23.209.26,2021092613,other-dryness.png,1,7,1,0:07:45
98.23.209.26,2021092613,other-weight-gain.png,1,7,1,0:07:45
98.23.209.26,2021092613,prescription-medicine,1,7,1,0:07:45
98.23.209.26,2021092613,sex-libido.png,2,7,1,0:07:45
98.23.209.26,2021092613,supplement,1,7,1,0:07:45
98.23.209.26,2021092613,treatmentsButton,1,7,1,0:07:45
98.23.209.26,2021092613,try-on-your-own,1,7,1,0:07:45
98.222.57.206,2021101016,common-depression.png,1,7,1,0:12:04
98.222.57.206,2021101016,common-hot-flashes.png,1,7,1,0:12:04
98.222.57.206,2021101016,common-insomnia.png,1,7,1,0:12:04
98.222.57.206,2021101016,other-weight-gain.png,1,7,1,0:12:04
98.222.57.206,2021101016,prescription-medicine,1,7,1,0:12:04
98.222.57.206,2021101016,professional-help,1,7,1,0:12:04
98.222.57.206,2021101016,sex-libido.png,1,7,1,0:12:04
98.222.57.206,2021101016,sex-period.png,1,7,1,0:12:04
98.222.57.206,2021101016,supplement,1,7,1,0:12:04
98.222.57.206,2021101016,treatmentsButton,2,7,1,0:12:04
98.222.57.206,2021101016,try-on-your-own,1,7,1,0:12:04
98.222.110.65,2021100716,common-depression.png,1,2,1,0:01:01
98.222.110.65,2021100716,common-hot-flashes.png,1,2,1,0:01:01
98.222.110.65,2021100716,common-insomnia.png,1,2,1,0:01:01
98.222.110.65,2021100716,only-treatments-known-to-work,1,2,1,0:01:01
