Operating System,IP Address,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Android,99.93.208.84,1,1,1,0.00%,4,0:02:35,0.00%,0,$0.00 
iOS,99.92.172.96,1,1,1,0.00%,7,0:02:13,0.00%,0,$0.00 
Android,99.89.44.176,1,1,1,0.00%,4,0:03:05,0.00%,0,$0.00 
Android,99.82.254.180,1,1,1,0.00%,6,0:04:12,0.00%,0,$0.00 
Windows,99.8.85.105,1,1,1,0.00%,8,0:07:29,0.00%,0,$0.00 
Android,99.7.30.41,1,1,1,0.00%,4,0:03:28,0.00%,0,$0.00 
iOS,99.58.105.11,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
iOS,99.54.138.36,1,1,1,0.00%,2,0:02:39,0.00%,0,$0.00 
Android,99.46.178.2,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,99.44.25.230,1,1,1,0.00%,13,0:15:39,0.00%,0,$0.00 
Android,99.32.58.89,1,1,1,0.00%,6,0:07:14,0.00%,0,$0.00 
iOS,99.196.242.50,1,1,1,0.00%,12,0:11:52,0.00%,0,$0.00 
Windows,99.186.110.69,1,1,1,0.00%,4,0:01:35,0.00%,0,$0.00 
Android,99.185.57.102,1,1,1,0.00%,16,0:19:12,0.00%,0,$0.00 
Android,99.182.122.131,1,1,1,0.00%,4,0:02:02,0.00%,0,$0.00 
Android,99.160.137.175,1,1,1,0.00%,7,0:08:18,0.00%,0,$0.00 
iOS,99.16.156.104,1,1,2,50.00%,1.5,0:01:27,0.00%,0,$0.00 
Android,99.122.83.146,1,1,1,0.00%,3,0:00:29,0.00%,0,$0.00 
Android,99.122.61.62,1,1,1,0.00%,4,0:02:05,0.00%,0,$0.00 
Android,99.113.109.28,1,1,1,0.00%,2,0:03:43,0.00%,0,$0.00 
Macintosh,99.108.235.167,1,1,1,0.00%,17,0:19:53,0.00%,0,$0.00 
Android,99.107.148.72,1,1,1,0.00%,12,0:30:53,0.00%,0,$0.00 
Windows,99.102.165.93,1,1,1,0.00%,4,0:05:52,0.00%,0,$0.00 
Windows,98.45.172.75,1,1,1,0.00%,2,0:01:14,0.00%,0,$0.00 
Android,98.40.10.88,1,1,1,0.00%,5,0:09:01,0.00%,0,$0.00 
Android,98.4.93.222,1,1,1,0.00%,6,0:06:57,0.00%,0,$0.00 
Android,98.4.195.49,1,1,1,0.00%,6,0:01:06,0.00%,0,$0.00 
Windows,98.30.218.60,1,1,1,0.00%,12,0:09:09,0.00%,0,$0.00 
Windows,98.27.129.144,1,1,1,0.00%,5,0:12:09,0.00%,0,$0.00 
iOS,98.26.105.49,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,98.255.241.199,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,98.236.111.161,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,98.235.28.50,1,1,1,0.00%,2,0:00:49,0.00%,0,$0.00 
Android,98.230.113.160,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,98.23.209.26,1,1,1,0.00%,7,0:07:45,0.00%,0,$0.00 
Android,98.222.57.206,2,1,2,50.00%,4,0:06:02,0.00%,0,$0.00 
Android,98.222.110.65,1,1,1,0.00%,2,0:01:01,0.00%,0,$0.00 
Android,98.22.203.135,1,1,1,0.00%,2,0:01:53,0.00%,0,$0.00 
Android,98.216.67.5,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,98.21.145.218,1,1,1,0.00%,5,0:01:57,0.00%,0,$0.00 
Android,98.207.138.26,1,1,1,0.00%,9,0:19:47,0.00%,0,$0.00 
Android,98.204.252.212,1,1,1,0.00%,5,0:04:03,0.00%,0,$0.00 
Android,98.201.203.55,1,1,1,0.00%,5,0:04:17,0.00%,0,$0.00 
Android,98.200.163.202,1,1,1,0.00%,5,0:07:44,0.00%,0,$0.00 
Android,98.20.165.99,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,98.192.129.75,1,1,1,0.00%,5,0:02:20,0.00%,0,$0.00 
Android,98.181.6.74,1,1,1,0.00%,2,0:01:51,0.00%,0,$0.00 
Android,98.174.82.34,2,2,2,0.00%,8.5,0:11:23,0.00%,0,$0.00 
Windows,98.169.145.74,1,1,1,0.00%,10,0:05:27,0.00%,0,$0.00 
iOS,98.165.150.193,1,1,1,0.00%,9,0:10:20,0.00%,0,$0.00 
Macintosh,98.156.87.134,1,1,1,0.00%,2,0:00:21,0.00%,0,$0.00 
Android,98.152.32.83,2,1,2,50.00%,3,0:04:33,0.00%,0,$0.00 
Android,98.148.91.153,1,1,1,0.00%,3,0:11:21,0.00%,0,$0.00 
Android,98.148.192.63,1,1,1,0.00%,3,0:01:50,0.00%,0,$0.00 
iOS,98.146.203.152,1,1,1,0.00%,3,0:03:07,0.00%,0,$0.00 
iOS,98.144.72.93,1,1,1,0.00%,2,0:00:11,0.00%,0,$0.00 
Android,98.144.226.183,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
iOS,98.127.80.222,1,1,1,0.00%,16,0:27:25,0.00%,0,$0.00 
Android,98.127.210.131,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
iOS,98.118.116.178,1,1,1,0.00%,3,0:00:42,0.00%,0,$0.00 
Android,98.10.243.160,1,1,1,0.00%,5,0:02:50,0.00%,0,$0.00 
iOS,97.91.169.33,1,1,1,0.00%,4,0:03:29,0.00%,0,$0.00 
Android,97.86.226.143,1,1,1,0.00%,5,0:03:06,0.00%,0,$0.00 
