Page,IP Address,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/,99.93.208.84,1,1,0:00:22,1,0.00%,0.00%,$0.00 
/am-i-in-menopause/,99.93.208.84,1,1,0:00:57,0,0.00%,0.00%,$0.00 
/create-my-menoplan/,99.93.208.84,1,1,0:00:00,0,0.00%,100.00%,$0.00 
/questions-and-answers/,99.93.208.84,1,1,0:00:46,0,0.00%,0.00%,$0.00 
/,99.92.172.96,1,1,0:00:23,1,0.00%,0.00%,$0.00 
/hot-flashes/,99.92.172.96,1,1,0:00:09,0,0.00%,0.00%,$0.00 
/mood-depression-anxiety/,99.92.172.96,1,1,0:00:52,0,0.00%,0.00%,$0.00 
/symptoms-landing-page/,99.92.172.96,3,1,0:00:17,0,0.00%,0.00%,$0.00 
/weight-gain/,99.92.172.96,1,1,0:00:00,0,0.00%,100.00%,$0.00 
/,99.89.44.176,1,1,0:00:13,1,0.00%,0.00%,$0.00 
/symptoms-landing-page/,99.89.44.176,2,1,0:00:55,0,0.00%,50.00%,$0.00 
/weight-gain/,99.89.44.176,1,1,0:01:57,0,0.00%,0.00%,$0.00 
/,99.82.254.180,1,1,0:00:39,1,0.00%,0.00%,$0.00 
/am-i-in-menopause/,99.82.254.180,1,1,0:01:33,0,0.00%,0.00%,$0.00 
/avoiding-weight-gain/,99.82.254.180,1,1,0:00:00,0,0.00%,100.00%,$0.00 
/create-my-menoplan/,99.82.254.180,1,1,0:01:21,0,0.00%,0.00%,$0.00 
/symptoms-landing-page/,99.82.254.180,1,1,0:00:21,0,0.00%,0.00%,$0.00 
/weight-gain/,99.82.254.180,1,1,0:00:18,0,0.00%,0.00%,$0.00 
/?fbclid=IwAR3YdliFNPwA2tcHWu540noMpbhCSI3P4HGf2-MRUld-hQLc55tZmDXUU4s,99.8.85.105,1,1,0:00:41,1,0.00%,0.00%,$0.00 
/about/,99.8.85.105,1,1,0:00:11,0,0.00%,0.00%,$0.00 
/am-i-in-menopause/,99.8.85.105,1,1,0:01:31,0,0.00%,0.00%,$0.00 
/avoiding-weight-gain/,99.8.85.105,1,1,0:00:52,0,0.00%,0.00%,$0.00 
/create-my-menoplan/,99.8.85.105,1,1,0:02:16,0,0.00%,0.00%,$0.00 
/dealing-with-bladder-control/,99.8.85.105,1,1,0:00:46,0,0.00%,0.00%,$0.00 
/dealing-with-dry-eyes/,99.8.85.105,1,1,0:01:13,0,0.00%,0.00%,$0.00 
/quit-smoking-tobacco/,99.8.85.105,1,1,0:00:00,0,0.00%,100.00%,$0.00 
/,99.7.30.41,1,1,0:00:13,1,0.00%,0.00%,$0.00 
/create-my-menoplan/,99.7.30.41,1,1,0:00:00,0,0.00%,100.00%,$0.00 
/hot-flashes/,99.7.30.41,1,1,0:01:53,0,0.00%,0.00%,$0.00 
/symptoms-landing-page/,99.7.30.41,1,1,0:00:35,0,0.00%,0.00%,$0.00 
/,99.46.178.2,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/,99.44.25.230,2,1,0:00:09,1,0.00%,0.00%,$0.00 
/avoiding-weight-gain/,99.44.25.230,1,1,0:01:06,0,0.00%,0.00%,$0.00 
/cooling-techniques/,99.44.25.230,1,1,0:02:34,0,0.00%,0.00%,$0.00 
/create-my-menoplan/,99.44.25.230,3,1,0:01:40,0,0.00%,33.33%,$0.00 
/dealing-with-bladder-control/,99.44.25.230,1,1,0:01:20,0,0.00%,0.00%,$0.00 
/hot-flashes/,99.44.25.230,2,1,0:01:10,0,0.00%,0.00%,$0.00 
/symptoms-landing-page/,99.44.25.230,3,1,0:01:34,0,0.00%,0.00%,$0.00 
/,99.32.58.89,1,1,0:01:14,1,0.00%,0.00%,$0.00 
/about/,99.32.58.89,1,1,0:00:15,0,0.00%,0.00%,$0.00 
/am-i-in-menopause/,99.32.58.89,1,1,0:00:54,0,0.00%,0.00%,$0.00 
/create-my-menoplan/,99.32.58.89,1,1,0:00:00,0,0.00%,100.00%,$0.00 
/questions-and-answers/,99.32.58.89,1,1,0:02:10,0,0.00%,0.00%,$0.00 
/strategies-to-talk-with-your-doctor/,99.32.58.89,1,1,0:00:47,0,0.00%,0.00%,$0.00 
/,99.196.242.50,1,1,0:00:16,1,0.00%,0.00%,$0.00 
/create-my-menoplan/,99.196.242.50,1,1,0:00:00,0,0.00%,100.00%,$0.00 
/heavy-irregular-periods/,99.196.242.50,1,1,0:02:58,0,0.00%,0.00%,$0.00 
/hot-flashes/,99.196.242.50,2,1,0:01:21,0,0.00%,0.00%,$0.00 
/mood-depression-anxiety/,99.196.242.50,1,1,0:02:05,0,0.00%,0.00%,$0.00 
/physical-aches-pains/,99.196.242.50,1,1,0:00:57,0,0.00%,0.00%,$0.00 
/symptoms-landing-page/,99.196.242.50,5,1,0:00:25,0,0.00%,0.00%,$0.00 
/,99.185.57.102,3,1,0:00:49,1,0.00%,0.00%,$0.00 
/avoiding-weight-gain/,99.185.57.102,1,1,0:01:23,0,0.00%,0.00%,$0.00 
/create-my-menoplan/,99.185.57.102,1,1,0:01:29,0,0.00%,0.00%,$0.00 
/dealing-with-bladder-control/,99.185.57.102,1,1,0:00:00,0,0.00%,100.00%,$0.00 
/dealing-with-dry-hair-skin/,99.185.57.102,1,1,0:01:02,0,0.00%,0.00%,$0.00 
/dry-hair-skin/,99.185.57.102,1,1,0:00:48,0,0.00%,0.00%,$0.00 
/our-team/,99.185.57.102,1,1,0:00:35,0,0.00%,0.00%,$0.00 
/symptoms-landing-page/,99.185.57.102,3,1,0:00:14,0,0.00%,0.00%,$0.00 
/vagina-pain-dryness-not-during-sex/,99.185.57.102,1,1,0:01:50,0,0.00%,0.00%,$0.00 
/weight-gain/,99.185.57.102,2,1,0:01:47,0,0.00%,0.00%,$0.00 
/womens-stories/,99.185.57.102,1,1,0:05:21,0,0.00%,0.00%,$0.00 
/,99.182.122.131,1,1,0:00:58,1,0.00%,0.00%,$0.00 
/am-i-in-menopause/,99.182.122.131,1,1,0:00:51,0,0.00%,0.00%,$0.00 
/sleep-problems-insomnia/,99.182.122.131,1,1,0:00:00,0,0.00%,100.00%,$0.00 
/symptoms-landing-page/,99.182.122.131,1,1,0:00:13,0,0.00%,0.00%,$0.00 
/,99.160.137.175,1,1,0:02:02,1,0.00%,0.00%,$0.00 
/about/,99.160.137.175,2,1,0:00:11,0,0.00%,0.00%,$0.00 
/am-i-in-menopause/,99.160.137.175,1,1,0:02:24,0,0.00%,0.00%,$0.00 
/low-sex-drive/,99.160.137.175,1,1,0:00:00,0,0.00%,100.00%,$0.00 
/questions-and-answers/,99.160.137.175,1,1,0:03:16,0,0.00%,0.00%,$0.00 
/symptoms-landing-page/,99.160.137.175,1,1,0:00:14,0,0.00%,0.00%,$0.00 
/,99.122.83.146,1,1,0:00:11,1,0.00%,0.00%,$0.00 
/hot-flashes/,99.122.83.146,1,1,0:00:00,0,0.00%,100.00%,$0.00 
/symptoms-landing-page/,99.122.83.146,1,1,0:00:18,0,0.00%,0.00%,$0.00 
/,99.108.235.167,1,1,0:04:39,1,0.00%,0.00%,$0.00 
/avoiding-weight-gain/,99.108.235.167,1,1,0:02:22,0,0.00%,0.00%,$0.00 
/create-my-menoplan/,99.108.235.167,1,1,0:00:00,0,0.00%,100.00%,$0.00 
/gabapentin-and-pregabalin/,99.108.235.167,1,1,0:00:13,0,0.00%,0.00%,$0.00 
/hot-flashes/,99.108.235.167,2,1,0:00:36,0,0.00%,0.00%,$0.00 
/low-sex-drive/,99.108.235.167,2,1,0:00:48,0,0.00%,0.00%,$0.00 
/questions-and-answers/,99.108.235.167,1,1,0:04:29,0,0.00%,0.00%,$0.00 
/symptoms-landing-page/,99.108.235.167,3,1,0:00:12,0,0.00%,0.00%,$0.00 
/treatment-template-shorter-table-of-contents-2/,99.108.235.167,1,1,0:00:42,0,0.00%,0.00%,$0.00 
/treatments/,99.108.235.167,2,1,0:00:12,0,0.00%,0.00%,$0.00 
/weight-gain/,99.108.235.167,1,1,0:01:44,0,0.00%,0.00%,$0.00 
/yoga/,99.108.235.167,1,1,0:01:04,0,0.00%,0.00%,$0.00 
/,99.107.148.72,1,1,0:00:24,1,0.00%,0.00%,$0.00 
/herbal-remedies-and-supplements/,99.107.148.72,2,1,0:03:08,0,0.00%,0.00%,$0.00 
/questions-and-answers/,99.107.148.72,2,1,0:02:13,0,0.00%,0.00%,$0.00 
/soy-foods-and-supplements/,99.107.148.72,1,1,0:00:00,0,0.00%,100.00%,$0.00 
/ssris-and-snris/,99.107.148.72,1,1,0:00:18,0,0.00%,0.00%,$0.00 
/symptoms-landing-page/,99.107.148.72,1,1,0:00:30,0,0.00%,0.00%,$0.00 
/treatments/,99.107.148.72,4,1,0:04:45,0,0.00%,0.00%,$0.00 
/,99.102.165.93,2,1,0:01:25,1,0.00%,0.00%,$0.00 
/create-my-menoplan/,99.102.165.93,1,1,0:00:00,0,0.00%,100.00%,$0.00 
/symptoms-landing-page/,99.102.165.93,1,1,0:01:32,0,0.00%,0.00%,$0.00 
/,98.40.10.88,1,1,0:00:36,1,0.00%,0.00%,$0.00 
/about/,98.40.10.88,1,1,0:00:41,0,0.00%,0.00%,$0.00 
/create-my-menoplan/,98.40.10.88,2,1,0:05:55,0,0.00%,50.00%,$0.00 
/questions-and-answers/,98.40.10.88,1,1,0:01:49,0,0.00%,0.00%,$0.00 
/,98.30.218.60,1,1,0:00:06,1,0.00%,0.00%,$0.00 
/clonidine/,98.30.218.60,1,1,0:06:47,0,0.00%,0.00%,$0.00 
/hormone-therapy/,98.30.218.60,1,1,0:00:21,0,0.00%,0.00%,$0.00 
/ospemifene/,98.30.218.60,1,1,0:00:24,0,0.00%,0.00%,$0.00 
/ssris-and-snris/,98.30.218.60,1,1,0:00:00,0,0.00%,100.00%,$0.00 
/symptoms-landing-page/,98.30.218.60,1,1,0:00:21,0,0.00%,0.00%,$0.00 
/treatment-template-shorter-table-of-contents-2/,98.30.218.60,1,1,0:00:15,0,0.00%,0.00%,$0.00 
/treatments/,98.30.218.60,5,1,0:00:11,0,0.00%,0.00%,$0.00 
/,98.27.129.144,2,1,0:03:12,1,0.00%,50.00%,$0.00 
/am-i-in-menopause/,98.27.129.144,1,1,0:01:41,0,0.00%,0.00%,$0.00 
/questions-and-answers/,98.27.129.144,1,1,0:03:35,0,0.00%,0.00%,$0.00 
/womens-stories/,98.27.129.144,1,1,0:03:41,0,0.00%,0.00%,$0.00 
/paced-breathing/,98.26.105.49,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/,98.255.241.199,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/,98.235.28.50,1,1,0:00:36,1,0.00%,0.00%,$0.00 
/create-my-menoplan/,98.235.28.50,1,1,0:00:00,0,0.00%,100.00%,$0.00 
/,98.230.113.160,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/,98.23.209.26,2,1,0:01:00,1,0.00%,0.00%,$0.00 
/create-my-menoplan/,98.23.209.26,1,1,0:03:29,0,0.00%,0.00%,$0.00 
/low-sex-drive/,98.23.209.26,1,1,0:00:36,0,0.00%,0.00%,$0.00 
/pain-with-sex/,98.23.209.26,1,1,0:00:00,0,0.00%,100.00%,$0.00 
/symptoms-landing-page/,98.23.209.26,1,1,0:00:16,0,0.00%,0.00%,$0.00 
/womens-stories/,98.23.209.26,1,1,0:01:24,0,0.00%,0.00%,$0.00 
/,98.222.57.206,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/,98.22.203.135,1,1,0:01:18,1,0.00%,0.00%,$0.00 
/create-my-menoplan/,98.22.203.135,1,1,0:00:00,0,0.00%,100.00%,$0.00 
/,98.216.67.5,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/,98.21.145.218,1,1,0:00:12,1,0.00%,0.00%,$0.00 
/symptoms-landing-page/,98.21.145.218,1,1,0:00:41,0,0.00%,0.00%,$0.00 
/treatment-template-shorter-table-of-contents-2/,98.21.145.218,1,1,0:00:37,0,0.00%,0.00%,$0.00 
/treatments/,98.21.145.218,2,1,0:00:27,0,0.00%,50.00%,$0.00 
/,98.204.252.212,1,1,0:00:52,1,0.00%,0.00%,$0.00 
/am-i-in-menopause/,98.204.252.212,2,1,0:00:37,0,0.00%,0.00%,$0.00 
/create-my-menoplan/,98.204.252.212,1,1,0:00:00,0,0.00%,100.00%,$0.00 
/strategies-to-talk-with-your-doctor/,98.204.252.212,1,1,0:00:13,0,0.00%,0.00%,$0.00 
/,98.20.165.99,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/,98.192.129.75,1,1,0:00:11,1,0.00%,0.00%,$0.00 
/hot-flashes/,98.192.129.75,1,1,0:01:23,0,0.00%,0.00%,$0.00 
/sleep-problems-insomnia/,98.192.129.75,1,1,0:00:00,0,0.00%,100.00%,$0.00 
/symptoms-landing-page/,98.192.129.75,2,1,0:00:23,0,0.00%,0.00%,$0.00 
/,98.181.6.74,1,1,0:00:11,1,0.00%,0.00%,$0.00 
/create-my-menoplan/,98.181.6.74,1,1,0:00:00,0,0.00%,100.00%,$0.00 
/,98.174.82.34,3,2,0:00:08,2,0.00%,33.33%,$0.00 
/am-i-in-menopause/,98.174.82.34,2,1,0:01:12,0,0.00%,50.00%,$0.00 
/bladder-control-problems/,98.174.82.34,1,1,0:02:42,0,0.00%,0.00%,$0.00 
/create-my-menoplan/,98.174.82.34,1,1,0:05:16,0,0.00%,0.00%,$0.00 
/heavy-irregular-periods/,98.174.82.34,1,1,0:03:01,0,0.00%,0.00%,$0.00 
/mood-depression-anxiety/,98.174.82.34,1,1,0:00:47,0,0.00%,0.00%,$0.00 
