Event Label,IP Address,Total Events,Unique Events,Event Value,Avg. Value
99.93.208.84,99.93.208.84,2,1,0,0
common-insomnia.png,99.93.208.84,1,1,0,0
other-weight-gain.png,99.93.208.84,1,1,0,0
reproductive-years-result,99.93.208.84,1,1,0,0
sex-libido.png,99.93.208.84,1,1,0,0
sex-period.png,99.93.208.84,1,1,0,0
treatmentsButton,99.93.208.84,1,1,0,0
try-on-your-own,99.93.208.84,1,1,0,0
99.92.172.96,99.92.172.96,1,1,0,0
common-depression.png,99.92.172.96,1,1,0,0
common-hot-flashes.png,99.92.172.96,1,1,0,0
other-weight-gain.png,99.92.172.96,1,1,0,0
99.89.44.176,99.89.44.176,1,1,0,0
other-weight-gain.png,99.89.44.176,1,1,0,0
99.82.254.180,99.82.254.180,2,1,0,0
common-hot-flashes.png,99.82.254.180,1,1,0,0
mind-body,99.82.254.180,1,1,0,0
other-bladder.png,99.82.254.180,1,1,0,0
other-weight-gain.png,99.82.254.180,2,1,0,0
reproductive-years-result,99.82.254.180,1,1,0,0
supplement,99.82.254.180,1,1,0,0
treatmentsButton,99.82.254.180,1,1,0,0
try-on-your-own,99.82.254.180,1,1,0,0
99.8.85.105,99.8.85.105,1,1,0,0
common-depression.png,99.8.85.105,1,1,0,0
dry-eyes2.png,99.8.85.105,1,1,0,0
late-menopause-transition-result,99.8.85.105,1,1,0,0
only-treatments-known-to-work,99.8.85.105,1,1,0,0
other-aches-pains.png,99.8.85.105,1,1,0,0
other-bladder.png,99.8.85.105,1,1,0,0
other-brain-fog.png,99.8.85.105,1,1,0,0
other-dryness.png,99.8.85.105,1,1,0,0
other-weight-gain.png,99.8.85.105,1,1,0,0
prescription-medicine,99.8.85.105,1,1,0,0
supplement,99.8.85.105,1,1,0,0
treatmentsButton,99.8.85.105,2,1,0,0
try-on-your-own,99.8.85.105,1,1,0,0
99.7.30.41,99.7.30.41,2,1,0,0
common-depression.png,99.7.30.41,1,1,0,0
common-hot-flashes.png,99.7.30.41,2,1,0,0
common-insomnia.png,99.7.30.41,1,1,0,0
other-brain-fog.png,99.7.30.41,1,1,0,0
other-weight-gain.png,99.7.30.41,1,1,0,0
sex-period.png,99.7.30.41,1,1,0,0
supplement,99.7.30.41,1,1,0,0
treatmentsButton,99.7.30.41,2,1,0,0
try-on-your-own,99.7.30.41,1,1,0,0
99.58.105.11,99.58.105.11,1,1,0,0
99.54.138.36,99.54.138.36,1,1,0,0
common-hot-flashes.png,99.54.138.36,1,1,0,0
common-insomnia.png,99.54.138.36,1,1,0,0
mind-body,99.54.138.36,1,1,0,0
other-aches-pains.png,99.54.138.36,1,1,0,0
other-bladder.png,99.54.138.36,1,1,0,0
prescription-medicine,99.54.138.36,1,1,0,0
professional-help,99.54.138.36,1,1,0,0
sex-pain-vagina.png,99.54.138.36,2,1,0,0
treatmentsButton,99.54.138.36,2,1,0,0
try-on-your-own,99.54.138.36,1,1,0,0
99.46.178.2,99.46.178.2,1,1,0,0
99.44.25.230,99.44.25.230,6,1,0,0
common-hot-flashes.png,99.44.25.230,3,1,0,0
common-insomnia.png,99.44.25.230,2,1,0,0
dry-eyes2.png,99.44.25.230,2,1,0,0
mind-body,99.44.25.230,2,1,0,0
other-weight-gain.png,99.44.25.230,2,1,0,0
prescription-medicine,99.44.25.230,1,1,0,0
sex-period.png,99.44.25.230,2,1,0,0
supplement,99.44.25.230,2,1,0,0
treatmentsButton,99.44.25.230,5,1,0,0
try-on-your-own,99.44.25.230,2,1,0,0
99.32.58.89,99.32.58.89,2,1,0,0
common-depression.png,99.32.58.89,1,1,0,0
common-hot-flashes.png,99.32.58.89,1,1,0,0
other-bladder.png,99.32.58.89,1,1,0,0
other-dryness.png,99.32.58.89,1,1,0,0
prescription-medicine,99.32.58.89,1,1,0,0
supplement,99.32.58.89,1,1,0,0
treatmentsButton,99.32.58.89,1,1,0,0
try-on-your-own,99.32.58.89,1,1,0,0
uncertain-stage-result,99.32.58.89,1,1,0,0
99.196.242.50,99.196.242.50,2,1,0,0
common-depression.png,99.196.242.50,2,1,0,0
common-hot-flashes.png,99.196.242.50,2,1,0,0
other-aches-pains.png,99.196.242.50,2,1,0,0
other-brain-fog.png,99.196.242.50,1,1,0,0
