Page,IP Address,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit
/,100.35.149.7,1,1,0:00:15,1,0.00%,0.00%
/create-my-menoplan/,100.35.149.7,1,1,0:00:00,0,0.00%,100.00%
/,104.176.121.100,2,1,0:00:09,1,0.00%,50.00%
/,104.7.29.81,1,1,0:00:48,1,0.00%,0.00%
/create-my-menoplan/,104.7.29.81,1,1,0:00:00,0,0.00%,100.00%
/,107.10.231.221,1,1,0:00:32,1,0.00%,0.00%
/am-i-in-menopause/,107.10.231.221,1,1,0:00:32,0,0.00%,0.00%
/questions-and-answers/,107.10.231.221,1,1,0:00:00,0,0.00%,100.00%
/,107.126.100.27,2,1,0:00:13,1,0.00%,0.00%
/am-i-in-menopause/,107.126.100.27,2,1,0:00:31,0,0.00%,0.00%
/cooling-techniques/,107.126.100.27,1,1,0:01:01,0,0.00%,0.00%
/create-my-menoplan/,107.126.100.27,1,1,0:02:33,0,0.00%,0.00%
/low-sex-drive/,107.126.100.27,1,1,0:03:29,0,0.00%,0.00%
/sleep-problems-insomnia/,107.126.100.27,1,1,0:00:41,0,0.00%,0.00%
/test/insomnia-severity-index/,107.126.100.27,1,1,0:00:31,0,0.00%,0.00%
/test/insomnia-severity-index/5u7e0dc1f0034cc261b998cb306ee34c7f/,107.126.100.27,1,1,0:00:00,0,0.00%,100.00%
/treatment-template-shorter-table-of-contents-2/,107.126.100.27,1,1,0:01:09,0,0.00%,0.00%
/,107.242.113.64,1,1,0:01:14,1,0.00%,0.00%
/about/,107.242.113.64,1,1,0:00:50,0,0.00%,0.00%
/bladder-control-problems/,107.242.113.64,1,1,0:23:24,0,0.00%,0.00%
/create-my-menoplan/,107.242.113.64,2,1,0:05:02,0,0.00%,50.00%
/heavy-irregular-periods/,107.242.113.64,1,1,0:07:42,0,0.00%,0.00%
/low-sex-drive/,107.242.113.64,1,1,0:03:56,0,0.00%,0.00%
/mood-depression-anxiety/,107.242.113.64,1,1,0:00:00,0,0.00%,100.00%
/questions-and-answers/,107.242.113.64,1,1,0:01:46,0,0.00%,0.00%
/symptoms-landing-page/,107.242.113.64,5,2,0:01:13,1,0.00%,0.00%
/vagina-pain-dryness-not-during-sex/,107.242.113.64,1,1,0:02:58,0,0.00%,0.00%
/,107.242.125.48,1,1,0:01:57,1,0.00%,0.00%
/about/,107.242.125.48,1,1,0:00:42,0,0.00%,0.00%
/questions-and-answers/,107.242.125.48,1,1,0:00:00,0,0.00%,100.00%
/,107.77.194.211,1,1,0:00:19,1,0.00%,0.00%
/dry-eyes/,107.77.194.211,2,1,0:00:48,0,0.00%,0.00%
/physical-aches-pains/,107.77.194.211,1,1,0:00:00,0,0.00%,100.00%
/symptoms-landing-page/,107.77.194.211,2,1,0:00:22,0,0.00%,0.00%
/,107.77.196.108,1,1,0:02:06,1,0.00%,0.00%
/am-i-in-menopause/,107.77.196.108,1,1,0:01:34,0,0.00%,0.00%
/dealing-with-dry-hair-skin/,107.77.196.108,1,1,0:00:00,0,0.00%,100.00%
/treatments/,107.77.196.108,1,1,0:01:03,0,0.00%,0.00%
/what-if-i-have-breast-cancer/,107.77.196.108,1,1,0:00:30,0,0.00%,0.00%
/,107.77.204.226,3,2,0:00:35,2,50.00%,33.33%
/am-i-in-menopause/,107.77.204.226,1,1,0:01:31,0,0.00%,0.00%
/brain-fog-cognitive-issues/,107.77.204.226,1,1,0:01:41,0,0.00%,0.00%
/create-my-menoplan/,107.77.204.226,2,2,0:00:00,1,0.00%,100.00%
/dealing-with-physical-aches-pains/,107.77.204.226,1,1,0:00:34,0,0.00%,0.00%
/dry-eyes/,107.77.204.226,1,1,0:00:35,0,0.00%,0.00%
/physical-aches-pains/,107.77.204.226,2,1,0:00:26,0,0.00%,0.00%
/sleep-problems-insomnia/,107.77.204.226,1,1,0:00:46,0,0.00%,0.00%
/symptoms-landing-page/,107.77.204.226,2,1,0:00:28,0,0.00%,0.00%
/test/insomnia-severity-index/,107.77.204.226,1,1,0:00:38,0,0.00%,0.00%
/test/insomnia-severity-index/5va5a032b03f6ddeb5b77417c63c435cd7/,107.77.204.226,1,1,0:00:17,0,0.00%,0.00%
