# ----------------------------------------
# Site Data
# Top Events
# 20210924-20210928
# ----------------------------------------

Event Label,IP Address,Total Events,Unique Events,Event Value,Avg. Value
common-depression.png,99.92.172.96,1,1,0,0.00
common-hot-flashes.png,99.92.172.96,1,1,0,0.00
other-weight-gain.png,99.92.172.96,1,1,0,0.00
other-weight-gain.png,99.89.44.176,1,1,0,0.00
common-hot-flashes.png,99.82.254.180,1,1,0,0.00
other-bladder.png,99.82.254.180,1,1,0,0.00
other-weight-gain.png,99.82.254.180,2,1,0,0.00
supplement,99.82.254.180,1,1,0,0.00
treatmentsButton,99.82.254.180,1,1,0,0.00
common-depression.png,99.8.85.105,1,1,0,0.00
dry-eyes2.png,99.8.85.105,1,1,0,0.00
other-aches-pains.png,99.8.85.105,1,1,0,0.00
other-bladder.png,99.8.85.105,1,1,0,0.00
other-brain-fog.png,99.8.85.105,1,1,0,0.00
other-dryness.png,99.8.85.105,1,1,0,0.00
other-weight-gain.png,99.8.85.105,1,1,0,0.00
prescription-medicine,99.8.85.105,1,1,0,0.00
supplement,99.8.85.105,1,1,0,0.00
treatmentsButton,99.8.85.105,2,1,0,0.00
common-hot-flashes.png,99.44.25.230,3,1,0,0.00
common-insomnia.png,99.44.25.230,2,1,0,0.00
dry-eyes2.png,99.44.25.230,2,1,0,0.00
other-weight-gain.png,99.44.25.230,2,1,0,0.00
prescription-medicine,99.44.25.230,1,1,0,0.00
sex-period.png,99.44.25.230,2,1,0,0.00
supplement,99.44.25.230,2,1,0,0.00
treatmentsButton,99.44.25.230,5,1,0,0.00
common-depression.png,99.32.58.89,1,1,0,0.00
common-hot-flashes.png,99.32.58.89,1,1,0,0.00
other-bladder.png,99.32.58.89,1,1,0,0.00
other-dryness.png,99.32.58.89,1,1,0,0.00
prescription-medicine,99.32.58.89,1,1,0,0.00
supplement,99.32.58.89,1,1,0,0.00
treatmentsButton,99.32.58.89,1,1,0,0.00
common-depression.png,99.196.242.50,2,1,0,0.00
common-hot-flashes.png,99.196.242.50,2,1,0,0.00
other-aches-pains.png,99.196.242.50,2,1,0,0.00
other-brain-fog.png,99.196.242.50,1,1,0,0.00
sex-period.png,99.196.242.50,2,1,0,0.00
treatmentsButton,99.196.242.50,1,1,0,0.00
common-hot-flashes.png,99.122.83.146,1,1,0,0.00
common-depression.png,99.108.235.167,1,1,0,0.00
common-hot-flashes.png,99.108.235.167,2,1,0,0.00
common-insomnia.png,99.108.235.167,1,1,0,0.00
other-brain-fog.png,99.108.235.167,1,1,0,0.00
other-weight-gain.png,99.108.235.167,4,1,0,0.00
sex-libido.png,99.108.235.167,2,1,0,0.00
supplement,99.108.235.167,1,1,0,0.00
treatmentsButton,99.108.235.167,2,1,0,0.00
common-hot-flashes.png,98.235.28.50,1,1,0,0.00
common-insomnia.png,98.235.28.50,1,1,0,0.00
other-dryness.png,98.235.28.50,1,1,0,0.00
sex-libido.png,98.235.28.50,1,1,0,0.00
common-hot-flashes.png,98.23.209.26,1,1,0,0.00
other-brain-fog.png,98.23.209.26,1,1,0,0.00
other-dryness.png,98.23.209.26,1,1,0,0.00
other-weight-gain.png,98.23.209.26,1,1,0,0.00
prescription-medicine,98.23.209.26,1,1,0,0.00
sex-libido.png,98.23.209.26,2,1,0,0.00
supplement,98.23.209.26,1,1,0,0.00
