,IP Address,Hour of Day,Pageviews,Session Duration,sumVisits
657,24.17.167.82,2021102311,1,0:00:00,6
656,24.17.167.82,2021100210,1,0:00:00,6
655,24.17.167.82,2021100112,1,0:00:00,6
654,24.17.167.82,2021093011,1,0:00:00,6
653,24.17.167.82,2021092714,1,0:00:00,6
652,24.17.167.82,2021092509,1,0:00:00,6
720,75.21.235.253,2021110314,1,0:00:00,5
719,75.21.235.253,2021110106,1,0:00:00,5
446,75.21.235.253,2021102714,3,0:00:16,5
101,75.21.235.253,2021102020,11,0:00:00,5
560,75.21.235.253,2021102019,2,0:40:42,5
1,54.201.37.197,2021110118,46,0:05:34,5
347,54.201.37.197,2021102518,4,0:00:17,5
113,54.201.37.197,2021101118,10,0:01:07,5
224,54.201.37.197,2021100418,6,0:00:34,5
0,54.201.37.197,2021092718,60,0:07:33,5
519,24.43.123.71,2021110313,2,0:01:05,5
664,24.43.123.71,2021100708,1,0:00:00,5
415,24.43.123.71,2021093013,3,0:00:33,5
343,24.43.123.71,2021092512,4,0:00:43,5
663,24.43.123.71,2021092511,1,0:00:00,5
662,24.250.15.34,2021092618,1,0:00:00,5
661,24.250.15.34,2021092616,1,0:00:00,5
660,24.250.15.34,2021092614,1,0:00:00,5
342,24.250.15.34,2021092613,4,0:00:00,5
518,24.250.15.34,2021092612,2,0:40:36,5
359,73.11.8.10,2021092615,4,0:00:00,4
197,73.11.8.10,2021092614,7,0:11:33,4
161,73.11.8.10,2021092613,8,0:49:40,4
196,73.11.8.10,2021092612,7,0:24:43,4
717,75.111.145.77,2021092812,1,0:00:00,3
445,75.111.145.77,2021092608,3,0:00:00,3
304,75.111.145.77,2021092607,5,0:29:42,3
537,68.132.107.8,2021092717,2,0:00:04,3
536,68.132.107.8,2021092614,2,0:00:00,3
157,68.132.107.8,2021092613,8,0:21:08,3
603,172.56.30.246,2021093011,1,0:00:00,3
602,172.56.30.246,2021093010,1,0:15:21,3
601,172.56.30.246,2021093009,1,0:00:00,3
255,172.56.30.114,2021100112,5,0:07:15,3
254,172.56.30.114,2021100111,5,0:24:14,3
482,172.56.30.114,2021100110,2,0:00:00,3
465,107.242.113.64,2021092515,2,0:00:00,3
144,107.242.113.64,2021092514,8,0:48:29,3
