IPAddress,mind-body,ok-for-breast-cancer,only-treatments-known-to-work,professional-help,try-on-your-own
100.1.116.150,1.0,0.0,1.0,0.0,1.0
100.1.210.47,2.0,0.0,0.0,0.0,3.0
100.35.149.7,1.0,1.0,1.0,1.0,1.0
104.4.139.57,0.0,0.0,0.0,0.0,1.0
104.7.29.81,0.0,0.0,0.0,0.0,1.0
104.8.80.79,0.0,0.0,1.0,0.0,1.0
107.12.183.250,1.0,0.0,0.0,1.0,1.0
107.204.168.21,2.0,0.0,2.0,0.0,2.0
107.242.113.5,0.0,0.0,0.0,0.0,1.0
107.242.113.64,1.0,0.0,1.0,0.0,1.0
107.77.169.36,0.0,0.0,0.0,0.0,1.0
107.77.208.231,1.0,0.0,1.0,0.0,1.0
108.202.117.72,1.0,0.0,0.0,0.0,1.0
108.213.221.15,2.0,0.0,0.0,0.0,1.0
108.234.124.199,1.0,0.0,1.0,4.0,4.0
108.238.90.79,2.0,0.0,0.0,0.0,2.0
108.52.130.168,1.0,0.0,1.0,0.0,1.0
151.197.230.4,0.0,0.0,1.0,0.0,1.0
162.218.220.231,2.0,0.0,2.0,0.0,2.0
162.222.31.52,1.0,0.0,1.0,1.0,1.0
172.14.95.125,1.0,0.0,0.0,0.0,1.0
172.221.114.222,1.0,0.0,0.0,0.0,1.0
172.5.237.199,0.0,0.0,1.0,0.0,1.0
172.56.42.201,1.0,0.0,0.0,0.0,1.0
172.56.42.95,1.0,0.0,1.0,1.0,1.0
172.58.137.217,0.0,0.0,1.0,0.0,0.0
172.58.139.36,2.0,0.0,1.0,2.0,2.0
172.58.157.238,0.0,0.0,1.0,0.0,1.0
172.58.19.143,1.0,0.0,1.0,0.0,0.0
172.58.223.141,0.0,0.0,1.0,1.0,0.0
172.58.23.222,0.0,0.0,1.0,0.0,0.0
172.58.31.102,0.0,0.0,1.0,3.0,1.0
172.58.44.170,0.0,0.0,0.0,0.0,2.0
172.58.44.251,0.0,0.0,1.0,0.0,1.0
172.58.59.211,1.0,0.0,1.0,0.0,1.0
172.58.70.156,1.0,0.0,1.0,0.0,1.0
172.79.21.112,1.0,0.0,1.0,0.0,2.0
172.91.219.96,0.0,0.0,1.0,0.0,0.0
173.29.245.134,0.0,0.0,2.0,0.0,1.0
173.29.26.241,0.0,0.0,1.0,2.0,2.0
173.69.134.2,1.0,0.0,2.0,1.0,1.0
173.81.164.231,0.0,0.0,0.0,0.0,1.0
174.126.154.195,0.0,1.0,1.0,0.0,2.0
174.20.67.229,0.0,0.0,1.0,0.0,1.0
174.202.69.23,0.0,1.0,0.0,0.0,0.0
174.207.0.28,1.0,0.0,1.0,1.0,1.0
174.208.34.69,0.0,1.0,0.0,0.0,0.0
174.210.235.168,1.0,0.0,1.0,1.0,1.0
174.211.129.240,1.0,0.0,1.0,0.0,1.0
174.216.11.136,0.0,0.0,0.0,0.0,1.0
174.242.81.27,0.0,0.0,1.0,0.0,2.0
174.247.240.255,0.0,0.0,1.0,0.0,1.0
174.250.36.12,1.0,0.0,2.0,2.0,1.0
174.86.0.207,1.0,0.0,1.0,0.0,1.0
184.62.130.147,1.0,0.0,0.0,1.0,0.0
192.190.159.60,0.0,0.0,1.0,0.0,1.0
207.225.154.127,1.0,2.0,1.0,1.0,1.0
209.107.179.56,0.0,0.0,1.0,0.0,1.0
209.107.180.22,0.0,0.0,1.0,0.0,0.0
216.93.226.235,0.0,0.0,4.0,0.0,0.0
23.123.210.55,1.0,0.0,0.0,0.0,1.0
23.84.10.87,1.0,0.0,0.0,0.0,1.0
23.84.72.234,1.0,0.0,0.0,1.0,1.0
24.0.99.105,1.0,0.0,0.0,0.0,1.0
24.118.105.76,0.0,0.0,1.0,0.0,1.0
24.143.241.24,1.0,0.0,1.0,0.0,1.0
24.154.107.20,1.0,0.0,1.0,1.0,1.0
24.169.87.10,1.0,1.0,0.0,0.0,1.0
24.186.210.13,0.0,0.0,2.0,0.0,1.0
24.190.32.242,1.0,0.0,1.0,0.0,1.0
24.192.5.2,0.0,0.0,1.0,0.0,0.0
24.233.109.99,0.0,0.0,1.0,0.0,1.0
24.240.58.192,0.0,0.0,1.0,0.0,0.0
24.250.15.34,0.0,0.0,0.0,0.0,1.0
24.250.245.66,0.0,1.0,0.0,0.0,0.0
24.7.183.2,1.0,0.0,1.0,0.0,1.0
45.51.188.202,0.0,0.0,2.0,0.0,2.0
47.26.135.230,1.0,0.0,1.0,1.0,1.0
50.122.27.199,0.0,0.0,1.0,4.0,0.0
50.25.0.72,0.0,0.0,1.0,0.0,0.0
50.82.40.47,0.0,0.0,1.0,0.0,1.0
63.142.197.59,1.0,1.0,1.0,1.0,1.0
64.127.165.14,1.0,0.0,1.0,1.0,1.0
64.251.147.224,1.0,0.0,1.0,0.0,1.0
65.131.24.176,0.0,0.0,1.0,0.0,0.0
65.191.169.190,0.0,0.0,0.0,0.0,1.0
66.10.244.242,0.0,0.0,0.0,0.0,1.0
66.220.238.147,1.0,0.0,1.0,0.0,1.0
67.1.16.127,0.0,0.0,0.0,0.0,1.0
67.10.30.123,1.0,0.0,0.0,1.0,1.0
67.188.101.116,0.0,0.0,1.0,0.0,1.0
67.3.99.123,0.0,0.0,3.0,0.0,0.0
67.43.240.171,1.0,0.0,1.0,1.0,1.0
67.82.145.227,1.0,0.0,0.0,0.0,1.0
68.10.108.230,0.0,0.0,0.0,0.0,1.0
68.105.132.94,1.0,0.0,1.0,0.0,1.0
68.171.180.200,1.0,0.0,0.0,0.0,1.0
68.231.177.192,1.0,0.0,0.0,0.0,1.0
68.37.167.213,3.0,2.0,5.0,3.0,5.0
68.82.200.161,0.0,0.0,1.0,0.0,1.0
68.93.4.230,1.0,0.0,1.0,0.0,1.0
70.162.176.142,0.0,0.0,5.0,2.0,5.0
70.162.20.98,1.0,0.0,0.0,2.0,0.0
70.170.52.38,1.0,0.0,1.0,0.0,1.0
70.172.5.170,0.0,1.0,1.0,0.0,1.0
70.187.28.91,1.0,0.0,1.0,0.0,1.0
70.35.188.49,0.0,0.0,0.0,0.0,1.0
70.94.78.192,1.0,0.0,1.0,0.0,1.0
71.192.14.0,0.0,0.0,0.0,0.0,1.0
71.213.45.87,1.0,0.0,0.0,0.0,1.0
71.214.48.85,0.0,1.0,0.0,0.0,1.0
71.223.238.5,1.0,0.0,1.0,0.0,1.0
71.227.107.130,0.0,0.0,0.0,1.0,1.0
71.237.252.165,0.0,0.0,1.0,1.0,1.0
71.238.34.51,0.0,1.0,0.0,0.0,0.0
71.255.32.18,0.0,0.0,0.0,0.0,1.0
71.81.210.174,0.0,0.0,3.0,2.0,2.0
71.91.163.56,4.0,0.0,5.0,0.0,4.0
72.196.151.16,1.0,2.0,1.0,1.0,1.0
72.202.206.47,1.0,0.0,0.0,1.0,1.0
72.230.71.244,1.0,0.0,1.0,0.0,1.0
72.74.219.122,1.0,1.0,1.0,1.0,0.0
73.109.56.253,0.0,0.0,1.0,0.0,0.0
73.11.8.10,2.0,2.0,5.0,1.0,2.0
73.121.213.202,0.0,0.0,1.0,0.0,0.0
73.147.52.48,1.0,1.0,1.0,1.0,1.0
73.175.215.190,1.0,0.0,1.0,1.0,0.0
73.182.217.127,0.0,0.0,1.0,0.0,0.0
73.37.13.59,1.0,0.0,1.0,0.0,1.0
73.48.241.8,0.0,0.0,1.0,1.0,1.0
73.81.166.10,0.0,0.0,2.0,0.0,1.0
73.90.207.79,2.0,0.0,4.0,2.0,5.0
73.94.72.118,2.0,0.0,0.0,2.0,2.0
74.111.182.17,0.0,0.0,1.0,0.0,1.0
74.134.88.28,0.0,0.0,1.0,0.0,0.0
74.138.83.223,0.0,0.0,1.0,0.0,1.0
74.199.76.172,0.0,0.0,0.0,1.0,1.0
75.111.145.77,0.0,0.0,0.0,0.0,6.0
75.117.168.206,1.0,0.0,0.0,0.0,0.0
75.164.248.79,0.0,0.0,2.0,0.0,0.0
75.172.55.60,0.0,0.0,0.0,0.0,1.0
75.175.104.136,1.0,0.0,1.0,1.0,1.0
75.187.124.48,0.0,0.0,0.0,0.0,1.0
75.187.42.179,1.0,0.0,0.0,0.0,1.0
75.188.45.72,0.0,0.0,1.0,0.0,0.0
75.21.235.253,1.0,0.0,1.0,1.0,1.0
75.58.42.195,1.0,0.0,0.0,1.0,1.0
75.89.200.130,0.0,0.0,0.0,0.0,1.0
75.97.179.218,0.0,0.0,1.0,0.0,0.0
76.106.2.217,0.0,0.0,2.0,0.0,2.0
76.108.73.56,2.0,0.0,0.0,0.0,4.0
