,?s=Anxiety,?s=Transgender,about,acupuncture,am-i-in-menopause,avoiding-triggers,avoiding-weight-gain,bladder-control-problems,brain-fog-cognitive-issues,clinical-hypnosis,clonidine,cognitive-behavioral-therapy,cognitive-behavioral-therapy-for-sleep,cooling-techniques,create-my-menoplan,dealing-with-bladder-control,dealing-with-brain-fog,dealing-with-dry-eyes,dealing-with-dry-hair-skin,dealing-with-physical-aches-pains,dry-eyes,dry-hair-skin,exercise,featured-video,gabapentin-and-pregabalin,heavy-irregular-periods,herbal-remedies-and-supplements,homepage,hormone-therapy,hot-flashes,low-sex-drive,meditation-mindfulness-mindfulness-based-stress-reduction,mood-depression-anxiety,omega-3-fatty-acids,ospemifene,our-story,our-team,paced-breathing,pain-with-sex,pelvic-floor-physical-therapy,physical-aches-pains,publications,questions-and-answers,science,sedatives,sleep-problems-insomnia,soy-foods-and-supplements,ssris-and-snris,staying-healthy-in-midlife,strategies-to-talk-with-your-doctor,symptoms-landing-page,tai-chi,team/susan-d-reed-md-mph,test/anxiety-assessment,test/depression-assessment,test/insomnia-severity-index,treatment-template-shorter-table-of-contents-2,treatments,vagina-pain-dryness-not-during-sex,vaginal-dilators,vaginal-estrogen,vaginal-laser-therapy,vaginal-lubricants-and-moisturizers,vaginal-physical-therapy,vitamins,weight-gain,what-if-i-have-breast-cancer,what-if-im-transgender-or-nonbinary,who-we-are,womens-stories,yoga,insomnia-severity-index-results,anxiety-assessment-results,depression-assessment-results
?s=Anxiety,1.0,-0.002415458937198065,-0.01456913353718162,-0.004193839914925791,0.13106824088456492,-0.005952697324378959,0.20792226410842782,-0.012571256264428737,-0.01277702964834793,-0.006150927885079529,-0.009841773659245701,-0.0034201078506974378,-0.005952697324378954,-0.008109713084311205,0.015509851620048106,-0.01274080517361756,-0.01244335611315735,-0.006890450518498302,-0.010216595405596222,-0.0060818728425665975,-0.008323576831646603,-0.008086734876363244,-0.006919667908561199,-0.0024154589371980653,-0.01162826430880873,-0.014059189626358418,-0.00834757058261939,0.08284747112964648,-0.00942720592934937,-0.019535247405563484,-0.014137934396655437,-0.005666569295026803,0.37821360715526414,-0.0054274134085486305,-0.00342010785069744,-0.006919667908561198,-0.01053817680277726,-0.0034201078506974373,-0.007982600926502834,-0.004949500494393009,-0.013204248237545598,-0.004193839914925783,0.0708936262358696,-0.0024154589371980658,-0.005666569295026802,0.08472987836700828,-0.007444275750454107,0.2308791187793687,-0.011704180161116445,-0.01231040532583856,0.08602417111067154,-0.002415458937198064,-0.002415458937198064,0.2384455796939564,0.33028003891013386,0.23809066791206518,-0.008480821634661934,0.03588494035795166,-0.009331460818512811,-0.006437522617585718,-0.005952697324378951,-0.0024154589371980675,-0.006919667908561198,-0.003420107850697439,-0.004848516904900934,0.11769773058974231,-0.008838091206705596,-0.008423192067404267,0.2852911512580646,0.09315461518037409,-0.005427413408548629,0.31277162108561213,0.7066843389919938,0.706684338991994
?s=Transgender,-0.002415458937198065,1.0,-0.01456913353718162,-0.004193839914925787,0.02017462219527966,-0.0059526973243789584,-0.009427205929349368,-0.012571256264428727,-0.012777029648347924,-0.006150927885079527,-0.009841773659245693,-0.0034201078506974386,-0.005952697324378955,0.2978476441874297,0.1264855140738406,0.17609612864964264,0.19411635536525468,-0.006890450518498299,-0.010216595405596218,0.3822223163366854,-0.0083235768316466,-0.008086734876363242,0.25414053045988394,-0.0024154589371980645,-0.011628264308808724,-0.014059189626358415,0.20816754140407076,0.02895765840424946,-0.009427205929349371,-0.01953524740556349,-0.014137934396655429,-0.005666569295026802,0.1818925978126316,-0.005427413408548629,-0.003420107850697437,-0.006919667908561202,-0.010538176802777261,0.7062522711690209,-0.007982600926502834,-0.004949500494393004,-0.013204248237545587,-0.0041938399149257875,-0.017192765644028257,-0.002415458937198065,-0.005666569295026801,0.18577269308628533,0.273407945743951,-0.009258310527493489,-0.011704180161116443,0.10932812348899482,-0.028215928124300252,-0.0024154589371980653,-0.002415458937198064,-0.006492330140181978,-0.0056665692950268,-0.007699449459842909,-0.008480821634661935,0.4303816356837775,-0.009331460818512811,0.3752156039964246,-0.005952697324378953,-0.002415458937198065,0.2541405304598839,-0.0034201078506974373,0.4981851119785712,-0.01612297679311538,0.27330097423812716,0.22461845513077996,-0.005607688476816993,0.20084031239445557,-0.00542741340854863,-0.0077227560761879595,-0.005145759749941698,-0.005145759749941698
about,-0.01456913353718162,-0.01456913353718162,1.0,0.032068807376258814,0.22585369625242543,-0.03590441588127454,-0.013878723161020146,-0.02246033340451724,3.7158246855486104e-05,0.026000457176724032,0.016361002098286965,0.04954292643447354,0.08622945781322507,-0.04891471804965345,0.04965688441444739,0.09120041659599859,-0.054629186134661355,-0.00621705517309339,-0.061622634302427905,-0.017485981454454864,-0.031229312342412108,-0.04877612220151728,-0.015923435107275452,0.08454874216659497,-0.005069535611802799,0.09738430590017606,-0.007531772666259024,0.14801876472426923,0.007612583226380433,0.11226684526029096,0.013774876079082558,0.1319117862986558,0.11679962648136949,-0.032736102234202945,-0.020628795307186944,0.03570332715459412,0.06804744250641456,0.049542926434473535,-0.04814802565311134,-0.0298535125290955,-0.07964302471399123,-0.02529565409420413,0.3317946308761835,-0.014569133537181625,0.032257554537838753,0.10142687109843808,-0.04490105206333114,-0.055842622835151255,0.12151629718847651,0.238463314011385,0.12068294691539468,-0.01456913353718162,-0.014569133537181624,0.05771762237791651,0.16512986355226156,0.050773797640813446,-0.0511531042807692,-0.002972555945239751,0.0041763675937173134,-0.038828698438992566,0.004806875350225299,-0.014569133537181629,-0.04173681623821024,0.04954292643447353,-0.029244417761340707,0.008608811901031365,0.08618017705405064,0.04136623048572035,0.2250507222393081,0.02948045528338974,0.011806463100860068,0.08017996216307827,0.03934780095875597,0.10973287594963406
acupuncture,-0.004193839914925791,-0.004193839914925787,0.032068807376258814,1.0,-0.029151489408936516,-0.01033536909114732,0.10942300214440043,-0.021826840229244172,-0.02218411421044075,-0.010679546847606518,0.13065029350509033,-0.005938161314488875,-0.01033536909114731,-0.01408048711067425,-0.005184601625423249,0.08716813865010627,-0.021604773626800015,-0.011963542816347907,-0.01773856096114767,-0.010559650049048812,-0.014451807983125581,-0.014040591203448673,-0.01201427150180339,-0.004193839914925788,-0.02018957070582987,-0.02441026411938449,0.11081463407250002,-0.0432884460782468,-0.01636798370027042,0.0095263709313513,-0.024546984705140502,-0.009838579378932998,0.08856944059854593,-0.009423345036855922,-0.005938161314488876,-0.012014271501803387,0.20179631742654372,-0.005938161314488876,-0.01385978866166336,-0.008593568871184763,-0.022925872368355787,-0.007281553398058249,-0.029850934617638703,-0.004193839914925788,-0.009838579378933,-0.028323331251968644,-0.012925121722907003,-0.016074739105281653,-0.02032137958350552,0.049024349533528376,0.017126549511617493,-0.004193839914925786,-0.004193839914925787,0.27224327927262226,-0.009838579378932996,-0.0133681670056042,-0.014724824229083935,0.06230521782021442,-0.016201746277931483,-0.011177146873043584,-0.010335369091147307,-0.004193839914925791,-0.012014271501803385,-0.005938161314488875,-0.008418236141721925,0.049455208101415724,-0.015345133425216746,-0.01462476490879365,-0.009736347574521433,-0.025229587181769545,-0.009423345036855924,-0.01340863311181882,0.1970514782220987,-0.008934323949616562
am-i-in-menopause,0.13106824088456492,0.02017462219527966,0.22585369625242543,-0.029151489408936516,1.0,0.004170661537643473,0.042671905847038546,0.11494961359826317,0.02045384159940135,0.0513743555400024,0.025721955950316098,-0.010688507188156164,0.02694466861819662,0.08465818588359658,0.11599393767859148,0.05418906749716976,-0.010324228161024736,-0.0017627395948069243,-0.013413988826072708,-0.013637457279395313,0.016446642977500744,-0.010617565535729373,0.01447487099963932,-0.035272187149363095,0.012191498040564934,0.03249795211857675,-0.00213550523974095,0.2976652165331169,0.030649610581240137,-0.019530069014240353,-0.016479523582796182,0.04732885039360267,0.08250332596091736,-0.004503114259891095,0.028565744874541325,0.1011153248195955,0.0354302013458243,-0.010688507188156159,-0.04785224669770285,-0.026829726902226226,0.08570981936669293,0.06711801805558854,0.2605351967791228,0.07562143153992237,-0.045582563576809364,0.06359341187902108,0.031107104981723047,0.024197046569834176,0.17451938052653498,0.27775375069628533,0.060315860980464306,-0.0352721871493631,-0.0352721871493631,0.05422584740651213,0.0844934159817675,0.15947613223320226,-0.04272731964618833,-0.016050174178695815,-0.057347312958878495,-0.009563291230595307,0.049718675698749784,-0.0352721871493631,-0.014405280273679459,0.028565744874541353,0.012671835643676363,0.06804536863630083,0.15184840892995155,0.1992557715013662,0.030746514062034914,0.13923718566246848,-0.07925481097408209,0.15314057810408016,0.102039299845368,0.14141290229616088
avoiding-triggers,-0.005952697324378959,-0.0059526973243789584,-0.03590441588127454,-0.01033536909114732,0.004170661537643473,1.0,-0.023232563653971094,-0.030980813781149783,-0.03148792514330977,0.1158989773454227,-0.02425423128761357,-0.008428570876700731,-0.01466992665036675,0.10568202410370046,-0.0073589752707988185,0.04616349569612702,-0.03066561451340977,-0.016980941275205413,0.06647861776352819,-0.014988268953623958,-0.020512761683492278,0.05261977551800399,-0.017052945098981673,-0.005952697324378957,0.06143863251667577,-0.03464770159530876,0.15728925975398783,-0.039308724946357225,-0.02323256365397113,0.1676832221694905,-0.0348417615216595,0.12402061687129788,0.004760446154842715,-0.013375408200001512,-0.00842857087670073,-0.017052945098981653,-0.025970458819098024,-0.008428570876700731,-0.019672454971186297,-0.012197631636894054,0.02828994849007554,-0.010335369091147321,-0.006189876221044098,-0.005952697324378957,-0.013964787958698422,-0.04020187264684286,0.09701035303160838,0.17444989473632597,0.028157215602500073,0.11954604204472484,-0.03434390332257942,-0.005952697324378957,-0.005952697324378957,0.08460503882575623,0.1240206168712979,-0.018974651770302352,-0.020900278400819563,0.08843544602007083,-0.02299660780462004,0.14089398445309861,-0.01466992665036674,-0.005952697324378959,0.09017390665976657,-0.008428570876700733,0.19466531264088052,0.07019626187784792,-0.02178073949781232,-0.020758255133300128,-0.013819681087446288,0.05265016879091437,-0.013375408200001507,-0.019032088984663947,0.13350586856239172,0.13350586856239174
avoiding-weight-gain,0.20792226410842782,-0.009427205929349368,-0.013878723161020146,0.10942300214440043,0.042671905847038546,-0.023232563653971094,1.0,-0.01005715837745732,-0.04986699951939657,0.11436301438718335,0.07228755018306791,0.14052702290820274,0.06604071334971419,0.034688328086476386,0.14475115903389893,0.07310850134504798,0.0857976673003462,0.1281128159041987,0.10528128433284097,0.01836045284083219,-0.03248578216432728,0.006736794412837427,0.425830040380207,-0.009427205929349371,0.0497385102563687,-0.054871094584285636,0.014366622099494837,0.1363871775841602,0.057460822166704395,0.021414041153453425,0.06893564706193596,0.26925163774505984,0.11395767248156588,-0.02118245236056538,-0.01334821325777123,0.029598052134050236,0.12378457129823364,0.14052702290820274,0.013738489509861266,-0.0193172236089366,0.14113918988187807,-0.016367983700270393,0.028395970640276918,-0.009427205929349371,0.12356789633150057,0.06778493637512532,0.03184199945341035,0.015934054981843145,0.13486421476303687,-0.021671465015449705,0.08184609163637768,-0.00942720592934937,-0.009427205929349368,0.027770165924122785,0.050726025624721165,0.1298309711999806,0.03049443490034838,0.01174846042965734,0.05196688533438266,0.1403796699600334,0.06604071334971416,-0.009427205929349373,-0.02700651761540071,-0.01334821325777123,-0.01892309846817516,0.28526350736314776,-0.03449386141278603,-0.032874566807579136,0.16733702410822002,0.13007941864289502,0.27184147196058933,0.10884199774917518,0.1342598886878122,0.13425988868781213
bladder-control-problems,-0.012571256264428737,-0.012571256264428727,-0.02246033340451724,-0.021826840229244172,0.11494961359826317,-0.030980813781149783,-0.01005715837745732,1.0,0.18539872712539252,-0.03201250475284516,-0.05122151192948916,-0.017799951628644263,-0.030980813781149752,0.12251938658290187,-0.018860500899569605,0.0353596341175735,0.009379244200931586,-0.0358613503675989,0.06697197203253008,0.003190498927188354,0.1977618666613811,0.24320566451007325,-0.03601341227691229,-0.012571256264428727,0.0182127055093556,0.25749305475842266,0.07312605990591058,0.13136740929468313,0.06795631314861345,0.2216510002435747,0.33733337403320235,-0.02949166042564104,0.25961942598164905,-0.028246973592110678,-0.017799951628644266,0.15139180521422996,0.04752766801445967,-0.017799951628644263,0.21856128616711956,0.0479662928423668,0.2236491305344307,0.2905227699478704,0.05279648107976095,0.34722676785542816,0.030799172464216273,0.2052385425546463,-0.038743733839080925,-0.048184878005746515,-0.060914406742561156,-0.06406950566902352,0.4425872668696872,-0.012571256264428721,-0.012571256264428727,0.0980843955882492,0.030799172464216238,0.13637161992337488,0.008497917466529106,-0.03448230814092304,0.13432660105652275,0.034989489939763904,-0.03098081378114973,0.16732775579549966,0.05768919646865881,0.3642852169517373,-0.025234106684764734,0.2523148063648434,-0.045997846511426604,-0.002015563397800042,-0.02918521520176428,0.13695754886560602,-0.0282469735921107,0.13235998588957076,-0.026781107099563772,-0.02678110709956378
brain-fog-cognitive-issues,-0.01277702964834793,-0.012777029648347924,3.7158246855486104e-05,-0.02218411421044075,0.02045384159940135,-0.03148792514330977,-0.04986699951939657,0.18539872712539252,1.0,-0.032536503412339615,-0.012345094740207275,-0.01809131123528822,0.03256839316293316,0.05230328587234164,0.08204231127220446,-0.008636743080088197,0.25554229339111856,0.019162183531060663,0.15426408847357626,0.058446815772227025,0.07539631094546091,0.31446556827670463,-0.03660290003810495,-0.01277702964834793,0.21150201277198166,0.1406214220895764,0.0905848643847163,0.10287226433723781,0.05157812205192496,0.18863214630403424,0.19238168189731458,-0.02997439648920785,0.29019958377798794,-0.028709335922434933,-0.018091311235288208,0.044628134805817746,0.06258690664935146,-0.01809131123528821,0.2798990887253536,0.10164514267499608,0.206652018540678,-0.02218411421044076,0.032395229309512504,-0.01277702964834793,0.02229188310331845,0.14951191084208074,-0.03937791303724829,-0.011613223851047728,0.0028614553262646357,-0.02726939939290772,0.37950437855487645,-0.012777029648347933,-0.01277702964834793,0.1561937137352745,0.07455816269584474,0.03575192021566171,0.0007696726422536758,-0.017321926972035526,0.14089911953509168,0.08470201875081203,-0.031487925143309774,0.2991328117672044,0.004012617383856436,-0.018091311235288208,-0.025647152717196267,0.0812721157236638,-0.0028558159676783683,0.13672600147653255,-0.02966293519777378,0.19119342268816222,0.041375219417626834,0.05887348228491296,0.08352642911836444,-0.027219475303748134
clinical-hypnosis,-0.006150927885079529,-0.006150927885079527,0.026000457176724032,-0.010679546847606518,0.0513743555400024,0.1158989773454227,0.11436301438718335,-0.03201250475284516,-0.032536503412339615,1.0,0.05619352504210166,0.21718693219955912,0.24695640404392527,0.07673818911023596,0.11014503244665805,0.027664523870997982,0.09981344849352432,0.21000875020089974,0.1870784423940528,0.04631326104788054,-0.021195856426674094,0.035630863049731995,0.0654773823718204,-0.006150927885079526,0.11003249267590595,-0.035801503466957006,0.047662081329666116,0.03943282957325047,0.11436301438718346,0.11751387692140557,0.009549317812529837,0.3063761878246036,0.15073140537518892,-0.01382082219009748,-0.008709250414017402,0.06547738237182033,0.033689969196743975,0.21718693219955912,-0.02032756669059523,0.37969021402003006,-0.033624408775934214,-0.010679546847606506,0.040335369986797,-0.0061509278850795275,0.30637618782460385,0.21576329182046977,0.15983970207512102,0.052862128564144746,0.014370031223237734,0.04608939427080871,0.03724006192097648,-0.006150927885079524,-0.006150927885079526,0.06143369720775821,0.09250551003282821,0.13686863321557785,-0.021596277824345537,-0.034192015814221016,0.0411152347098952,-0.016393049275046007,0.11589897734542268,-0.00615092788507953,-0.01762082461382323,-0.008709250414017404,-0.012346671422296757,0.08673271131514815,-0.02250605912483952,-0.021449525045073917,0.17091243096089778,0.06582930020115027,0.12957020803216374,0.08235085532814469,0.10018790813384783,0.10018790813384786
