,IPAddress,Operating System,Feedback_website
0,100.1.197.247,Android,More information
31,67.82.145.227,Android,Use colors.
33,68.37.167.213,Android,"Maybe it's not phone friendly? & Not everyone has a printer. I didn't see where I could download anything. Type was small and I couldn't just enlarge it from my phone to read. (By taking my two fingers and pulling out on the screen. I'm one who had a full hysterectomy, no ovaries and took my cervix. I wish someone would have told me about how different sex was going to be. No warning. I was in my forties. I'm now in my fifties. The doctor was also a woman. "
68,99.32.58.89,Android,"Didn't see women's stories, more on treatment options"
36,70.170.52.38,Android,"Some of the charts didn't fit mobile screen, didn't find adjustment button until finished. Probably should be more noticeable."
37,70.175.75.192,Android,If you strongly disagree with natural herbs and remedies then put more details of the study on your website. It only says it was done. It doesn't say for how long. For all I know it was only 1 treatment and nothing works on 1 treatment. If the study isn't at least 3 or more months for a study with a natural remedy then it's not going to have accurate data.
39,71.12.154.101,Android,Hormone replacement therapy contraindications
40,71.192.14.0,Android,"I was looking for more in depth information 
This may be a good place for people to start "
41,71.214.48.85,Android,I liked all of it.
42,71.240.196.40,Android,"I might suggest changing ""symptoms"" to ""indicators"". The word symptom sounds like diagnosing a sickness or disease. Menopause is neither sickness nor disease."
44,71.81.210.174,Android,Great source of info. The menopause tool doesn't work the best with mobile so I'll have to look at it again on my computer. I am planning to visit my doctor soon so this helped me pinpoint some things to talk about. 
45,72.220.69.176,Android,Nothing Great
30,67.43.240.171,Android,"I noticed some of the links had trouble working. I was thrilled to see trans positive messages (like, ""gender affirming medication""). If possible, I think more information about healthy eating (more than a link to the gov website) and exercise ideas would be lovely."
46,73.182.217.127,Android,"I may have missed it, but I would like a tool to know if I'm in perimenopause"
48,73.254.223.191,Android,"I would love more information on pre- or perimenopause, not just about menopause. "
50,73.94.49.153,Android,I was interested in the prescription meds that help with symptoms because I am taking lexapro and gabapentin. I have experienced very few adverse reactions regarding menopause. That is the first I have heard of those meds helping.
