,Pageviews,Unique Pageviews,?s=Anxiety,?s=Transgender,about,acupuncture,am-i-in-menopause,avoiding-triggers,avoiding-weight-gain,bladder-control-problems,brain-fog-cognitive-issues,clinical-hypnosis,clonidine,cognitive-behavioral-therapy,cognitive-behavioral-therapy-for-sleep,cooling-techniques,create-my-menoplan,dealing-with-bladder-control,dealing-with-brain-fog,dealing-with-dry-eyes,dealing-with-dry-hair-skin,dealing-with-physical-aches-pains,dry-eyes,dry-hair-skin,exercise,featured-video,gabapentin-and-pregabalin,heavy-irregular-periods,herbal-remedies-and-supplements,homepage,hormone-therapy,hot-flashes,low-sex-drive,meditation-mindfulness-mindfulness-based-stress-reduction,mood-depression-anxiety,omega-3-fatty-acids,ospemifene,our-story,our-team,paced-breathing,pain-with-sex,pelvic-floor-physical-therapy,physical-aches-pains,publications,questions-and-answers,science,sedatives,sleep-problems-insomnia,soy-foods-and-supplements,ssris-and-snris,staying-healthy-in-midlife,strategies-to-talk-with-your-doctor,symptoms-landing-page,tai-chi,team/susan-d-reed-md-mph,test/anxiety-assessment,test/depression-assessment,test/insomnia-severity-index,treatment-template-shorter-table-of-contents-2,treatments,vagina-pain-dryness-not-during-sex,vaginal-dilators,vaginal-estrogen,vaginal-laser-therapy,vaginal-lubricants-and-moisturizers,vaginal-physical-therapy,vitamins,weight-gain,what-if-i-have-breast-cancer,what-if-im-transgender-or-nonbinary,who-we-are,womens-stories,yoga,insomnia-severity-index-results,anxiety-assessment-results,hotflash_symp,nightsweat_symp,sleep_symp,moody_symp,anxiety_symp,periods_symp,vagpain_symp,brainfog_symp,dryhair_symp,dryskin_symp,aches_symp,weightgain_symp,sexdrive_symp,depression_symp,uinfect_symp,dryeye_symp,sexpain_symp,vagdry_symp,bladder_symp,other_symp,none_symp
Pageviews,1.0,0.9398033980196664,0.18633182063923043,0.2238513284341263,0.260961906250786,0.04123122027726969,0.3430385775923902,0.07393382702049915,0.2374888826189951,0.3731795996667359,0.3587167310103953,0.2117482396670557,0.2413505833538549,0.19476958322296917,0.21571150234157654,0.2912045250588792,0.3952538964928646,0.29017957085876467,0.26871543444411405,0.09271625683093596,0.2970024610689781,0.2148211947584075,0.15509698009222542,0.32632004184895985,0.18984475523573363,0.013742084782708885,0.26812482678620075,0.25354245632567646,0.2776438154410627,0.3967993485684588,0.24399703854384122,0.43312657541327554,0.39216670826827277,0.36419670179854585,0.5736755839498666,0.0679717132613857,0.05664511375364041,0.22111274915276904,0.2848502820672494,0.3382065322872719,0.26860462521668244,0.17423265263064852,0.28798514719374424,0.16283192576505504,0.29299554274875883,0.14130841128535535,0.1680395098315086,0.4914245736907598,0.2504906503996275,0.19468501173850108,0.13930846118694315,0.21754802910605914,0.6593109143741979,0.036253789459646496,-0.016273521453207904,0.3156375975474702,0.3767708807707914,0.41547187563225313,0.1207025732569929,0.3432792645567387,0.2621165733084754,0.2366135614481187,0.16331540494030886,0.23135522999310557,0.14098851474036642,0.10445743010840806,0.21209963192306153,0.4273160449097454,0.12631539263754588,0.14735836307433448,0.3367696748086876,0.32047470844273346,0.20285879516682528,0.42060510094256076,0.2983712859917705,0.07613114442571708,0.17029893829907214,0.24890521415663291,0.20322619120546495,0.22190737227896418,0.09342858345767338,0.0492079139580703,0.20852136382377182,0.05178231395586147,0.12344937084507082,0.16457145942006648,0.16161329462095458,0.140858622201406,0.2370146231154962,0.01437715488320172,0.12791327012661535,0.0915764555151634,0.10867444302515111,0.20822364756912728,-0.0062302959880869094,0.0846600436657645
Unique Pageviews,0.9398033980196664,1.0,0.2026483576864791,0.2026483576864789,0.21911943891421198,0.0652525134509892,0.2929328876753239,0.13230575490724733,0.24619430520655766,0.35672154755050567,0.3334671674407046,0.24692216494223618,0.26283058199345743,0.20142716166684993,0.20671877661827145,0.27855322727065984,0.38691005954411856,0.31351650465882286,0.27490913096777053,0.10433824959865418,0.3301440542061392,0.19677885362596825,0.17344017036545753,0.3060111370475972,0.17476772631947352,0.04563444274772359,0.33333526655382556,0.22861547154181003,0.2698847766685775,0.23338635215414216,0.2854766025846997,0.4170092557979346,0.3860756063954,0.3984969880713879,0.5528969141225444,0.0645441803913098,0.047513403723788414,0.25655035130807247,0.2632433193095955,0.3211378622892309,0.24561143019209117,0.12815773457961413,0.2797992020975338,0.14913416471219854,0.23990960499445785,0.1784923707728245,0.17991666932555386,0.470116096798805,0.2861523372479541,0.21831494801494017,0.15423818903143877,0.21205776432916715,0.5430532980214965,0.00940046237724155,-0.014755524536413147,0.34695085360891814,0.42278369015425854,0.4238438923522297,0.13548811277383316,0.3273498373408302,0.2622487482057318,0.19979636180632157,0.1571100954775886,0.19057036422965176,0.171622240742989,0.1330210470254893,0.1946383234017854,0.45939543995817345,0.1465782708636948,0.18440753618240407,0.3653147457464081,0.3523803683894375,0.21109282097583373,0.43938510962922284,0.3416548158199962,0.07679136352997705,0.161723243136133,0.2389157753040582,0.201943704395988,0.20894852436130548,0.09925581504883794,0.028477877930896955,0.17482483979639268,0.00839570496847369,0.13254422514753283,0.14901635059227292,0.16881068173078934,0.14748735535265106,0.21617917591052616,-0.002998080202085152,0.11304013017700407,0.06793417749452008,0.10389193671360618,0.19335523732941096,0.0020610128831443277,0.07923278866119078
?s=Anxiety,0.18633182063923043,0.2026483576864791,1.0,-0.002415458937198066,-0.01456913353718163,-0.004193839914925786,0.13106824088456503,-0.005952697324378959,0.20792226410842762,-0.01257125626442874,-0.01277702964834792,-0.006150927885079529,-0.009841773659245698,-0.0034201078506974417,-0.005952697324378962,-0.008109713084311214,0.015509851620048141,-0.01274080517361756,-0.01244335611315734,-0.006890450518498309,-0.010216595405596218,-0.00608187284256659,-0.008323576831646608,-0.00808673487636325,-0.006919667908561197,-0.002415458937198068,-0.011628264308808742,-0.014059189626358421,-0.008347570582619392,0.08284747112964642,-0.009427205929349368,-0.019535247405563446,-0.01413793439665542,-0.005666569295026805,0.37821360715526414,-0.005427413408548633,-0.0034201078506974373,-0.006919667908561193,-0.010538176802777266,-0.00342010785069744,-0.007982600926502837,-0.004949500494393013,-0.0132042482375456,-0.004193839914925786,0.07089362623586962,-0.0024154589371980653,-0.005666569295026813,0.08472987836700836,-0.007444275750454105,0.2308791187793688,-0.011704180161116453,-0.012310405325838571,0.08602417111067145,-0.0024154589371980675,-0.0024154589371980675,0.23844557969395636,0.33028003891013374,0.23809066791206507,-0.008480821634661937,0.035884940357951665,-0.00933146081851281,-0.0064375226175857085,-0.005952697324378955,-0.002415458937198068,-0.006919667908561193,-0.003420107850697439,-0.004848516904900935,0.11769773058974234,-0.008838091206705612,-0.008423192067404254,0.28529115125806465,0.09315461518037406,-0.005427413408548631,0.31277162108561213,0.706684338991994,-0.033752123056278734,0.07317925618085572,0.06332678093977483,0.07572489842286446,0.0752896852124661,-0.022706395936375964,-0.007317421420371181,0.07660917923639857,-0.019210113189114558,0.0947397795197556,-0.033379229476848654,-0.03393900209626355,0.07843592644950177,0.08898719599945383,-0.008838091206705619,-0.02213804683553545,-0.014681715364669463,-0.020205112742444294,-0.023457776379599563,-0.0064375226175857145,-0.004193839914925787
?s=Transgender,0.2238513284341263,0.2026483576864789,-0.002415458937198066,1.0,-0.01456913353718162,-0.004193839914925785,0.02017462219527962,-0.005952697324378957,-0.009427205929349368,-0.012571256264428735,-0.012777029648347907,-0.006150927885079526,-0.009841773659245694,-0.003420107850697439,-0.0059526973243789584,0.2978476441874298,0.12648551407384082,0.1760961286496427,0.19411635536525462,-0.006890450518498303,-0.010216595405596211,0.38222231633668513,-0.008323576831646603,-0.008086734876363242,0.2541405304598838,-0.002415458937198066,-0.011628264308808733,-0.014059189626358421,0.20816754140407095,0.02895765840424949,-0.009427205929349368,-0.019535247405563443,-0.014137934396655416,-0.005666569295026806,0.18189259781263167,-0.0054274134085486305,-0.003420107850697436,-0.006919667908561188,-0.010538176802777263,0.7062522711690215,-0.007982600926502832,-0.004949500494393012,-0.013204248237545594,-0.004193839914925786,-0.017192765644028246,-0.0024154589371980645,-0.005666569295026811,0.1857726930862854,0.27340794574395083,-0.009258310527493489,-0.01170418016111645,0.10932812348899483,-0.028215928124300262,-0.0024154589371980658,-0.0024154589371980658,-0.006492330140181984,-0.0056665692950268,-0.0076994494598429004,-0.008480821634661934,0.4303816356837771,-0.009331460818512808,0.3752156039964247,-0.005952697324378953,-0.002415458937198066,0.25414053045988383,-0.0034201078506974378,0.4981851119785711,-0.01612297679311539,0.2733009742381271,0.22461845513078016,-0.005607688476816991,0.20084031239445554,-0.005427413408548629,-0.00772275607618795,-0.005145759749941701,0.07156465189376388,0.07317925618085575,-0.03814277153129293,0.07572489842286441,-0.03208220263349068,-0.022706395936375957,0.33009701074118863,0.0766091792363986,-0.019210113189114558,-0.025495720482380687,-0.03337922947684865,-0.03393900209626355,0.0784359264495018,-0.027143893119330253,-0.008838091206705615,0.10910894511799607,0.16452157511585475,0.1195469170594619,-0.02345777637959956,-0.006437522617585711,-0.004193839914925783
about,0.260961906250786,0.21911943891421198,-0.01456913353718163,-0.01456913353718162,1.0,0.03206880737625881,0.2258536962524256,-0.035904415881274576,-0.01387872316102018,-0.022460333404517238,3.715824685552616e-05,0.026000457176724074,0.01636100209828696,0.04954292643447354,0.08622945781322507,-0.048914718049653486,0.04965688441444734,0.0912004165959986,-0.054629186134661306,-0.006217055173093365,-0.061622634302427905,-0.01748598145445486,-0.03122931234241213,-0.0487761222015173,-0.015923435107275452,0.08454874216659503,-0.0050695356118028445,0.09738430590017623,-0.007531772666259039,0.14801876472426942,0.007612583226380441,0.11226684526029115,0.01377487607908256,0.13191178629865596,0.11679962648136948,-0.032736102234202966,-0.020628795307186944,0.03570332715459415,0.06804744250641462,0.04954292643447358,-0.04814802565311132,-0.029853512529095513,-0.0796430247139913,-0.025295654094204114,0.33179463087618377,-0.01456913353718162,0.03225755453783883,0.1014268710984381,-0.044901052063331094,-0.055842622835151325,0.12151629718847642,0.2384633140113851,0.12068294691539468,-0.01456913353718163,-0.01456913353718163,0.05771762237791651,0.16512986355226164,0.050773797640813495,-0.051153104280769184,-0.0029725559452397675,0.004176367593717315,-0.03882869843899262,0.004806875350225291,-0.01456913353718163,-0.041736816238210274,0.04954292643447353,-0.029244417761340694,0.008608811901031384,0.08618017705405062,0.04136623048572035,0.22505072223930822,0.029480455283389717,0.011806463100860105,0.08017996216307828,0.03934780095875599,0.004692402866299255,0.0004048052818127008,0.11106644446282332,-0.0008462019425013149,0.09314668456665667,0.016208401706363847,-0.010772700512426351,0.06644909206447513,0.02745608388426746,-0.02300405474086086,0.049608370033583385,0.04472804898984472,-0.023735469948934423,0.12335157426958857,-0.025410379817809012,0.022202600301301504,-0.017676751403262466,-0.03895831094069467,0.04602816921351364,-0.038828698438992594,0.03206880737625883
acupuncture,0.04123122027726969,0.0652525134509892,-0.004193839914925786,-0.004193839914925785,0.03206880737625881,1.0,-0.029151489408936467,-0.010335369091147312,0.10942300214440046,-0.02182684022924417,-0.022184114210440743,-0.010679546847606509,0.13065029350509022,-0.00593816131448887,-0.010335369091147309,-0.014080487110674252,-0.005184601625423222,0.08716813865010616,-0.021604773626799984,-0.011963542816347901,-0.017738560961147655,-0.010559650049048805,-0.014451807983125594,-0.01404059120344868,-0.012014271501803382,-0.004193839914925786,-0.020189570705829895,-0.024410264119384472,0.1108146340724999,-0.04328844607824686,-0.016367983700270414,0.009526370931351301,-0.024546984705140478,-0.009838579378933001,0.08856944059854599,-0.009423345036855926,-0.005938161314488878,-0.012014271501803377,0.20179631742654405,-0.005938161314488868,-0.013859788661663345,-0.00859356887118477,-0.022925872368355794,-0.0072815533980582535,-0.029850934617638686,-0.004193839914925789,-0.009838579378933008,-0.02832333125196863,-0.012925121722906996,-0.016074739105281663,-0.020321379583505522,0.0490243495335284,0.01712654951161748,-0.004193839914925786,-0.004193839914925786,0.2722432792726222,-0.009838579378932987,-0.013368167005604201,-0.014724824229083942,0.06230521782021434,-0.01620174627793149,-0.011177146873043558,-0.010335369091147309,-0.004193839914925786,-0.01201427150180338,-0.005938161314488878,-0.008418236141721913,0.049455208101415724,-0.015345133425216775,-0.014624764908793624,-0.009736347574521426,-0.025229587181769573,-0.009423345036855919,-0.013408633111818832,0.19705147822209876,-0.058602114367180234,0.00414639740710927,-0.06622537657352624,0.006904060920204716,-0.05570271549271124,-0.0394239736952621,-0.01270487092721345,-0.05474330826576996,-0.03335355373757894,-0.04426693767058289,-0.05795467799252283,0.0019055860189949772,-0.05346835442335021,-0.04712857695787528,-0.015345133425216791,-0.03843717772534922,-0.02549112426119503,-0.03508112143820319,0.03244179494404545,-0.011177146873043565,-0.007281553398058249
am-i-in-menopause,0.3430385775923902,0.2929328876753239,0.13106824088456503,0.02017462219527962,0.2258536962524256,-0.029151489408936467,1.0,0.004170661537643469,0.04267190584703849,0.11494961359826322,0.020453841599401352,0.05137435554000238,0.025721955950316077,-0.010688507188156207,0.026944668618196575,0.08465818588359679,0.11599393767859147,0.05418906749716982,-0.010324228161024749,-0.001762739594806965,-0.013413988826072648,-0.013637457279395332,0.016446642977500706,-0.010617565535729278,0.014474870999639348,-0.03527218714936309,0.012191498040564987,0.03249795211857669,-0.002135505239740927,0.29766521653311706,0.030649610581240144,-0.019530069014240297,-0.016479523582796148,0.04732885039360262,0.08250332596091743,-0.0045031142598910695,0.02856574487454128,0.10111532481959572,0.03543020134582427,-0.0106885071881562,-0.0478522466977028,-0.0268297269022262,0.08570981936669289,0.06711801805558869,0.26053519677912257,0.07562143153992247,-0.04558256357680942,0.06359341187902107,0.03110710498172302,0.024197046569834176,0.17451938052653512,0.27775375069628544,0.06031586098046435,-0.03527218714936309,-0.03527218714936309,0.05422584740651212,0.08449341598176742,0.15947613223320206,-0.04272731964618826,-0.016050174178695833,-0.05734731295887851,-0.009563291230595307,0.04971867569874972,-0.035272187149363095,-0.014405280273679513,0.028565744874541367,0.012671835643676323,0.0680453686363009,0.15184840892995144,0.19925577150136586,0.030746514062034852,0.1392371856624683,-0.07925481097408206,0.15314057810408016,0.10203929984536798,0.10714539779173378,0.12884958115767375,0.1894896901676905,0.1830785320841966,0.16105648167238465,0.11110975537105089,0.07978072485417623,0.1317516286327964,0.0642373606130311,0.05998369965614649,0.19105806550859133,0.12067795501979407,0.0638697483935308,0.2138665995614996,0.011394271398161349,0.13408562648088798,0.06315214966270444,0.09145771027342837,0.18193992965893224,0.03265762218107544,-0.029151489408936457
avoiding-triggers,0.07393382702049915,0.13230575490724733,-0.005952697324378959,-0.005952697324378957,-0.035904415881274576,-0.010335369091147312,0.004170661537643469,1.0,-0.0232325636539711,-0.03098081378114976,-0.031487925143309774,0.11589897734542254,-0.024254231287613566,-0.00842857087670073,-0.01466992665036674,0.10568202410370042,-0.00735897527079876,0.04616349569612702,-0.030665614513409763,-0.01698094127520543,0.06647861776352813,-0.014988268953623927,-0.02051276168349227,0.05261977551800389,-0.017052945098981646,-0.005952697324378959,0.06143863251667579,-0.03464770159530874,0.1572892597539878,-0.03930872494635725,-0.023232563653971094,0.16768322216949041,-0.03484176152165946,0.12402061687129791,0.004760446154842745,-0.013375408200001512,-0.008428570876700727,-0.017052945098981642,-0.02597045881909802,-0.008428570876700726,-0.019672454971186276,-0.012197631636894048,0.028289948490075517,-0.010335369091147321,-0.0061898762210440975,-0.005952697324378956,-0.013964787958698426,-0.04020187264684284,0.09701035303160839,0.174449894736326,0.028157215602500146,0.11954604204472483,-0.03434390332257945,-0.005952697324378959,-0.005952697324378959,0.08460503882575623,0.12402061687129778,-0.018974651770302334,-0.020900278400819577,0.08843544602007092,-0.022996607804620053,0.14089398445309856,-0.014669926650366736,-0.005952697324378959,0.09017390665976663,-0.008428570876700727,0.1946653126408805,0.07019626187784787,-0.021780739497812326,-0.0207582551333001,-0.013819681087446295,0.05265016879091431,-0.013375408200001508,-0.01903208898466394,0.13350586856239172,0.0465929136224524,0.049500063518327884,0.07270915639409355,0.054004095761195074,0.009139108534694577,-0.0029384349014853367,-0.018033175492904296,0.011130885356959235,-0.04734172360408982,-0.01344701693690502,0.004604903986182309,-0.04046753611713228,0.05870316100937473,0.0762038339621508,-0.021780739497812344,-0.05455737215625542,-0.036181864416184414,0.0076073887254657375,-0.005881077005792384,-0.01586473819579126,-0.01033536909114732
avoiding-weight-gain,0.2374888826189951,0.24619430520655766,0.20792226410842762,-0.009427205929349368,-0.01387872316102018,0.10942300214440046,0.04267190584703849,-0.0232325636539711,1.0,-0.010057158377457315,-0.04986699951939654,0.11436301438718326,0.0722875501830679,0.14052702290820257,0.0660407133497141,0.03468832808647629,0.1447511590338988,0.07310850134504795,0.0857976673003461,0.12811281590419873,0.10528128433284087,0.01836045284083218,-0.03248578216432728,0.0067367944128374335,0.42583004038020655,-0.009427205929349371,0.049738510256368745,-0.054871094584285615,0.014366622099494785,0.1363871775841602,0.05746082216670451,0.021414041153453415,0.06893564706193579,0.26925163774505967,0.11395767248156585,-0.02118245236056538,-0.013348213257771227,0.029598052134050236,0.12378457129823356,0.14052702290820254,0.01373848950986132,-0.01931722360893659,0.14113918988187812,-0.01636798370027041,0.028395970640276866,-0.009427205929349366,0.1235678963315006,0.0677849363751253,0.03184199945341034,0.015934054981843148,0.13486421476303692,-0.02167146501544968,0.08184609163637747,-0.009427205929349371,-0.009427205929349373,0.027770165924122778,0.050726025624721074,0.1298309711999805,0.030494434900348318,0.011748460429657326,0.051966885334382595,0.14037966996003323,0.06604071334971415,-0.009427205929349371,-0.027006517615400676,-0.013348213257771229,-0.018923098468175165,0.2852635073631479,-0.03449386141278603,-0.03287456680757911,0.16733702410821977,0.1300794186428948,0.2718414719605889,0.10884199774917509,0.13425988868781208,0.09662395196569674,0.07839257850252546,0.027143662029644553,0.10886092769084625,0.014473482099348798,0.07931283943465114,-0.028558895181091896,0.01762783200924489,-0.07497444488539586,0.08298474516060954,-0.015635158099989034,0.14102630256449825,-0.0017691770229221891,0.04514235043897861,0.02668114921245414,0.055886858860304194,-0.018444841994207248,0.07265139177794146,0.07292492986362686,-0.02512477047580143,-0.016367983700270414
bladder-control-problems,0.3731795996667359,0.35672154755050567,-0.01257125626442874,-0.012571256264428735,-0.022460333404517238,-0.02182684022924417,0.11494961359826322,-0.03098081378114976,-0.010057158377457315,1.0,0.18539872712539238,-0.03201250475284515,-0.0512215119294892,-0.017799951628644277,-0.030980813781149752,0.12251938658290178,-0.01886050089956961,0.03535963411757361,0.00937924420093155,-0.035861350367598965,0.06697197203253004,0.0031904989271883395,0.19776186666138085,0.24320566451007322,-0.03601341227691226,-0.012571256264428739,0.01821270550935565,0.25749305475842227,0.07312605990591055,0.13136740929468305,0.06795631314861342,0.22165100024357456,0.33733337403320196,-0.029491660425641053,0.25961942598164894,-0.02824697359211068,-0.017799951628644266,0.15139180521422999,0.04752766801445977,-0.017799951628644273,0.21856128616711956,0.04796629284236682,0.22364913053443036,0.2905227699478706,0.05279648107976089,0.3472267678554283,0.030799172464216252,0.2052385425546466,-0.03874373383908094,-0.0481848780057465,-0.06091440674256124,-0.06406950566902352,0.4425872668696867,-0.012571256264428739,-0.012571256264428739,0.09808439558824911,0.030799172464216245,0.13637161992337488,0.008497917466529096,-0.03448230814092301,0.1343266010565225,0.034989489939763856,-0.030980813781149773,0.16732775579549972,0.05768919646865883,0.36428521695173743,-0.02523410668476475,0.2523148063648434,-0.04599784651142658,-0.0020155633978000253,-0.029185215201764307,0.13695754886560588,-0.02824697359211071,0.13235998588957074,-0.026781107099563765,-0.10006000828107989,-0.0002755206985533603,0.03821966059194483,0.007818908889297543,0.006454139015036846,-0.002344529272781871,-0.038083520466306794,-0.04765282871524777,-0.021938973392435206,0.06151065964212225,0.03502795668496086,-0.025727152702943613,-0.003448281001768346,-0.01622123617184597,0.05527062193548078,0.04966270121761416,-0.012089365397659901,-0.02991549886354221,0.1955672278154123,-0.033504087064962614,0.1864062332221657
